"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 24일","99.52","99.99","100.07","99.42","1.62M","-0.26%"
"2022년 05월 23일","99.78","99.77","100.19","99.60","1.32M","0.51%"
"2022년 05월 20일","99.27","99.88","100.06","99.01","712.20K","-0.19%"
"2022년 05월 19일","99.46","99.60","99.91","99.42","660.99K","-0.22%"
"2022년 05월 18일","99.68","100.55","100.62","99.55","841.76K","-1.10%"
"2022년 05월 17일","100.79","99.23","100.80","99.20","921.67K","1.52%"
"2022년 05월 16일","99.28","99.07","99.49","98.72","1.02M","0.13%"
"2022년 05월 13일","99.15","99.83","99.86","98.78","1.04M","-0.68%"
"2022년 05월 12일","99.83","99.96","100.08","99.10","1.16M","-0.25%"
"2022년 05월 11일","100.08","100.25","100.40","100.00","553.42K","-0.21%"
"2022년 05월 10일","100.29","100.36","100.55","99.78","1.53M","0.27%"
"2022년 05월 09일","100.02","100.62","100.96","100.01","1.41M","-0.97%"
"2022년 05월 06일","101.00","101.16","101.35","100.62","1.48M","-0.39%"
"2022년 05월 05일","101.40","101.52","101.68","101.03","1.05M","-0.29%"
"2022년 05월 04일","101.70","101.38","101.75","100.94","1.53M","0.46%"
"2022년 05월 03일","101.23","100.20","101.31","100.15","1.15M","1.23%"
"2022년 05월 02일","100.00","100.21","100.45","99.95","1.19M","-0.10%"
"2022년 04월 29일","100.10","100.75","100.82","99.91","1.12M","-0.61%"
"2022년 04월 28일","100.71","100.92","101.03","100.62","773.91K","-0.05%"
"2022년 04월 27일","100.76","101.00","101.17","100.63","901.66K","-0.01%"
"2022년 04월 26일","100.77","101.33","101.44","100.75","1.67M","-0.51%"
"2022년 04월 25일","101.29","101.31","101.63","101.16","1.20M","-0.21%"
