"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 24일","330.09","337.02","338.96","326.58","1.30M","-3.25%"
"2022년 05월 23일","341.18","336.80","345.47","335.69","1.05M","1.70%"
"2022년 05월 20일","335.48","342.68","346.74","318.03","2.00M","-0.90%"
"2022년 05월 19일","338.52","332.74","346.43","331.77","1.45M","1.40%"
"2022년 05월 18일","333.85","345.09","350.98","331.45","1.66M","-5.02%"
"2022년 05월 17일","351.51","340.15","353.13","337.55","1.66M","6.34%"
"2022년 05월 16일","330.54","331.97","337.74","328.91","931.60K","-1.75%"
"2022년 05월 13일","336.42","320.34","337.71","318.02","1.98M","6.60%"
"2022년 05월 12일","315.60","309.00","320.00","306.43","1.49M","1.27%"
"2022년 05월 11일","311.63","318.28","326.79","311.08","1.32M","-3.59%"
"2022년 05월 10일","323.22","328.31","330.58","316.19","1.45M","1.36%"
"2022년 05월 09일","318.87","322.32","329.54","316.33","1.82M","-3.77%"
"2022년 05월 06일","331.35","331.80","338.27","321.00","967.79K","-0.61%"
"2022년 05월 05일","333.40","342.88","346.00","329.32","1.86M","-4.57%"
"2022년 05월 04일","349.38","334.75","350.47","326.43","1.45M","4.60%"
"2022년 05월 03일","334.00","326.33","335.04","323.51","1.33M","2.25%"
"2022년 05월 02일","326.64","321.67","327.43","312.17","1.56M","2.31%"
"2022년 04월 29일","319.26","331.73","342.27","318.42","2.43M","-4.06%"
"2022년 04월 28일","332.76","320.00","337.15","316.75","1.83M","5.71%"
"2022년 04월 27일","314.78","312.70","324.00","312.01","1.04M","0.01%"
"2022년 04월 26일","314.76","325.34","326.14","314.61","1.22M","-4.97%"
"2022년 04월 25일","331.21","322.23","331.68","319.36","1.26M","2.14%"
