"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 24일","31.11","33.20","33.20","30.82","8.27M","-7.44%"
"2022년 05월 23일","33.61","34.80","34.80","33.26","8.36M","-2.21%"
"2022년 05월 20일","34.37","34.33","34.66","33.26","7.42M","2.14%"
"2022년 05월 19일","33.65","32.45","34.37","32.37","8.04M","1.97%"
"2022년 05월 18일","33.00","35.00","35.11","32.51","12.79M","-7.54%"
"2022년 05월 17일","35.69","35.99","36.30","35.37","5.87M","1.77%"
"2022년 05월 16일","35.07","36.20","36.74","34.99","5.91M","-2.99%"
"2022년 05월 13일","36.15","35.27","36.55","35.27","6.72M","4.72%"
"2022년 05월 12일","34.52","34.68","35.39","33.69","7.43M","-1.57%"
"2022년 05월 11일","35.07","36.46","37.29","34.86","5.31M","-3.12%"
"2022년 05월 10일","36.20","35.97","36.75","35.05","10.33M","3.02%"
"2022년 05월 09일","35.14","37.55","37.88","35.01","8.93M","-8.27%"
"2022년 05월 06일","38.31","39.14","39.24","37.65","6.93M","-2.52%"
"2022년 05월 05일","39.30","40.79","41.14","38.76","4.87M","-4.22%"
"2022년 05월 04일","41.03","41.33","41.33","39.03","7.02M","0.44%"
"2022년 05월 03일","40.85","42.14","43.08","40.23","8.50M","-2.67%"
"2022년 05월 02일","41.97","41.99","42.23","40.40","5.93M","2.27%"
"2022년 04월 29일","41.04","41.88","43.26","40.96","5.06M","-2.54%"
"2022년 04월 28일","42.11","40.94","42.59","40.13","7.56M","4.39%"
"2022년 04월 27일","40.34","40.26","41.13","39.54","3.77M","-0.02%"
"2022년 04월 26일","40.35","41.79","42.06","40.16","3.69M","-4.00%"
"2022년 04월 25일","42.03","40.67","42.20","40.23","4.08M","2.31%"
