"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 27일","22.44","22.03","22.66","22.03","209.02K","1.86%"
"2022년 05월 26일","22.03","21.44","22.44","21.44","426.28K","3.87%"
"2022년 05월 25일","21.21","20.96","21.47","20.92","245.56K","0.14%"
"2022년 05월 24일","21.18","21.62","21.80","20.51","281.13K","-2.04%"
"2022년 05월 23일","21.62","21.56","21.93","21.15","255.79K","2.27%"
"2022년 05월 20일","21.14","21.66","21.90","20.21","278.79K","-0.80%"
"2022년 05월 19일","21.31","21.82","22.27","21.26","349.73K","-3.22%"
"2022년 05월 18일","22.02","22.39","23.27","21.89","480.47K","-3.59%"
"2022년 05월 17일","22.84","22.05","23.06","21.79","335.14K","6.04%"
"2022년 05월 16일","21.54","22.65","22.81","21.47","229.39K","-5.44%"
"2022년 05월 13일","22.78","22.62","23.04","22.23","244.77K","3.17%"
"2022년 05월 12일","22.08","21.67","22.28","21.41","253.22K","1.33%"
"2022년 05월 11일","21.79","22.93","23.42","21.68","232.02K","-4.89%"
"2022년 05월 10일","22.91","23.88","24.06","22.65","304.73K","-3.05%"
"2022년 05월 09일","23.63","23.40","24.26","23.28","341.40K","-1.25%"
"2022년 05월 06일","23.93","23.97","24.60","23.42","492.04K","-0.46%"
"2022년 05월 05일","24.04","25.56","25.75","23.62","357.22K","-6.46%"
"2022년 05월 04일","25.70","25.56","25.94","24.46","341.21K","0.12%"
"2022년 05월 03일","25.67","25.80","26.15","25.29","347.54K","-0.73%"
"2022년 05월 02일","25.86","25.38","26.96","25.00","386.28K","1.53%"
"2022년 04월 29일","25.47","27.43","28.09","25.23","617.88K","-8.18%"
