"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 24일","149.47","151.00","151.02","146.41","627.30K","-1.53%"
"2022년 05월 23일","151.79","152.76","154.04","150.48","662.32K","0.70%"
"2022년 05월 20일","150.73","152.00","153.87","148.08","1.00M","0.47%"
"2022년 05월 19일","150.02","149.82","152.52","148.53","934.62K","-0.85%"
"2022년 05월 18일","151.31","153.33","156.54","150.75","1.02M","-2.70%"
"2022년 05월 17일","155.51","152.65","156.83","151.24","1.72M","7.49%"
"2022년 05월 16일","144.68","141.84","146.49","138.82","1.32M","1.52%"
"2022년 05월 13일","142.52","140.55","143.54","140.54","1.03M","2.52%"
"2022년 05월 12일","139.02","140.56","140.56","135.65","934.24K","-1.77%"
"2022년 05월 11일","141.53","141.72","145.31","141.04","991.55K","0.48%"
"2022년 05월 10일","140.86","144.49","146.16","140.13","1.69M","-1.44%"
"2022년 05월 09일","142.92","146.03","148.38","142.71","1.72M","-4.07%"
"2022년 05월 06일","148.99","151.08","151.24","147.04","1.24M","-1.69%"
"2022년 05월 05일","151.55","155.10","155.72","149.18","759.45K","-2.90%"
"2022년 05월 04일","156.08","151.45","156.47","150.12","930.95K","3.82%"
"2022년 05월 03일","150.34","146.69","150.67","146.04","877.55K","3.01%"
"2022년 05월 02일","145.95","147.33","148.96","142.76","1.22M","-0.67%"
"2022년 04월 29일","146.94","148.01","153.98","146.35","1.77M","2.81%"
"2022년 04월 28일","142.93","140.62","143.77","138.68","1.40M","2.04%"
"2022년 04월 27일","140.07","139.80","142.28","138.47","969.43K","0.60%"
"2022년 04월 26일","139.24","141.48","143.62","139.24","498.64K","-1.88%"
"2022년 04월 25일","141.91","141.05","142.32","136.89","713.00K","-0.56%"
