"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 27일","80.97","79.00","81.20","78.65","659.40K","2.68%"
"2022년 05월 26일","78.86","78.94","79.84","78.36","691.61K","-0.09%"
"2022년 05월 25일","78.93","78.57","79.43","77.26","759.09K","0.19%"
"2022년 05월 24일","78.78","80.00","80.34","78.06","932.16K","-1.97%"
"2022년 05월 23일","80.36","80.09","81.11","79.23","573.77K","0.80%"
"2022년 05월 20일","79.72","79.76","80.78","78.26","1.11M","0.55%"
"2022년 05월 19일","79.28","78.40","80.36","78.11","852.21K","1.41%"
"2022년 05월 18일","78.18","78.30","79.99","77.61","924.26K","-1.19%"
"2022년 05월 17일","79.12","77.61","79.33","77.59","1.07M","2.33%"
"2022년 05월 16일","77.32","77.65","78.17","76.41","1.08M","-0.53%"
"2022년 05월 13일","77.73","77.30","78.89","76.90","1.81M","1.77%"
"2022년 05월 12일","76.38","75.12","76.47","74.30","1.61M","0.92%"
"2022년 05월 11일","75.68","78.56","79.57","75.60","1.61M","-4.72%"
"2022년 05월 10일","79.43","76.44","80.22","76.00","1.68M","6.45%"
"2022년 05월 09일","74.62","78.00","78.48","73.93","1.81M","-5.85%"
"2022년 05월 06일","79.26","81.00","81.87","78.96","840.88K","-3.31%"
"2022년 05월 05일","81.97","84.14","84.30","81.12","821.99K","-3.17%"
"2022년 05월 04일","84.65","83.82","84.66","81.31","877.29K","1.35%"
"2022년 05월 03일","83.52","82.97","84.00","82.28","1.33M","0.25%"
"2022년 05월 02일","83.31","80.38","83.47","80.36","1.21M","2.41%"
"2022년 04월 29일","81.35","81.95","83.61","81.12","1.47M","-1.56%"
