항목,2017/09,2018/09,2019/09,2020/09,2021/09,"2022/09(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,,,,,,, , 
  당기순이익(지배)＜당기＞,,,,,,, , 
  보통주수정평균발행주식수＜당기＞,,,,,,, , 
  우선주수정평균발행주식수＜당기＞,,,,,,, , 
펼치기 BPS,,,,,,, , 
  자본총계(지배)＜당기＞,,,,,,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,,,,,,, , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,,,,,,, , 
펼치기 CPS,,,,,,, , 
  영업활동현금흐름＜당기＞,,,,,,, , 
  보통주수정평균발행주식수＜당기＞,,,,,,, , 
  우선주수정평균발행주식수＜당기＞,,,,,,, , 
펼치기 SPS,,,,,,, , 
  매출액＜당기＞,,,,,,, , 
  보통주수정평균발행주식수＜당기＞,,,,,,, , 
  우선주수정평균발행주식수＜당기＞,,,,,,, , 
펼치기 PER,,,,,,, , 
  보통주수정주가(기말)＜당기＞,,,,,,, , 
  EPS＜당기＞,,,,,,, , 
펼치기 PBR,,,,,,, , 
  보통주수정주가(기말)＜당기＞,,,,,,, , 
  BPS＜당기＞,,,,,,, , 
펼치기 PCR,,,,,,, , 
  보통주수정주가(기말)＜당기＞,,,,,,, , 
  CPS＜당기＞,,,,,,, , 
펼치기 PSR,,,,,,, , 
  보통주수정주가(기말)＜당기＞,,,,,,, , 
  SPS＜당기＞,,,,,,, , 
펼치기 EV/EBITDA,,,,,,, , 
  EV＜당기＞,,,,,,, , 
  EBITDA＜당기＞,,,,,,, , 
펼치기 DPS,,,,,,, , 
  현금DPS,,,,,,, , 
  주식DPS,,,,,,, , 
  현금배당수익률,,,,,,, , 
  현금배당성향(%),,,,,,, , 
