,Signal,Price,PTC_Price,Score,CostScore,Prec,Recall,Accuracy,FScore,AltCostScore
2014-05-02,Hold,26.32,4.939209726443772,0,0.0,83.92857142857143,78.33333333333333,76.0,81.03448275862068,85.58409673410424
2014-06-02,Hold,27.62,5.1412020275162895,0,0.0,,,,,
2014-07-02,Sell,29.04,-1.5840220385675008,1,1.5840220385675008,,,,,
2014-08-04,Sell,28.58,0.7347795661301726,-1,-0.7347795661301726,,,,,
2014-09-02,Buy,28.79,-1.25043417853421,-1,-1.25043417853421,,,,,
2014-10-02,Sell,28.43,-2.638058389025677,1,2.638058389025677,,,,,
2014-11-03,Sell,27.68,-3.8656069364161882,1,3.8656069364161882,,,,,
2014-12-02,Sell,26.61,-1.6535137166478697,1,1.6535137166478697,,,,,
2015-01-02,Buy,26.17,0.6878104700038135,1,0.6878104700038135,,,,,
2015-02-02,Buy,26.35,8.121442125237177,1,8.121442125237177,,,,,
2015-03-02,Sell,28.49,-6.282906282906275,1,6.282906282906275,,,,,
2015-04-02,Sell,26.7,1.2734082397003688,-1,-1.2734082397003688,,,,,
2015-05-04,Sell,27.04,-0.2958579881656709,1,0.2958579881656709,,,,,
2015-06-02,Sell,26.96,-2.93026706231454,1,2.93026706231454,,,,,
2015-07-02,Buy,26.17,20.596102407336623,1,20.596102407336623,,,,,
2015-08-03,Sell,31.56,-2.6615969581749055,1,2.6615969581749055,,,,,
2015-09-02,Sell,30.72,2.05078125,-1,-2.05078125,,,,,
2015-10-02,Buy,31.35,15.023923444976074,1,15.023923444976074,,,,,
2015-11-02,Buy,36.06,5.712701053799218,1,5.712701053799218,,,,,
2015-12-02,Buy,38.12,-2.7019937040923203,-1,-2.7019937040923203,,,,,
2016-01-04,Sell,37.09,3.07360474521432,-1,-3.07360474521432,,,,,
2016-02-02,Sell,38.23,-5.990060162176302,1,5.990060162176302,,,,,
2016-03-02,Buy,35.94,3.6727879799666185,1,3.6727879799666185,,,,,
2016-04-04,Sell,37.26,-6.307031669350516,1,6.307031669350516,,,,,
2016-05-02,Buy,34.91,4.611859066170165,1,4.611859066170165,,,,,
2016-06-02,Sell,36.52,-4.928806133625418,1,4.928806133625418,,,,,
2016-07-05,Buy,34.72,11.031105990783407,1,11.031105990783407,,,,,
2016-08-02,Sell,38.55,0.05188067444876765,-1,-0.05188067444876765,,,,,
2016-09-02,Buy,38.57,0.15556131708582832,1,0.15556131708582832,,,,,
2016-10-03,Buy,38.63,-0.4918457157649603,-1,-0.4918457157649603,,,,,
2016-11-02,Sell,38.44,-2.3933402705514917,1,2.3933402705514917,,,,,
2016-12-02,Buy,37.52,4.77078891257996,1,4.77078891257996,,,,,
2017-01-03,Buy,39.31,1.5772068176036491,1,1.5772068176036491,,,,,
2017-02-02,Buy,39.93,4.0070122714750855,1,4.0070122714750855,,,,,
2017-03-02,Buy,41.53,0.963159162051519,1,0.963159162051519,,,,,
2017-04-03,Buy,41.93,9.277367040305261,1,9.277367040305261,,,,,
2017-05-02,Buy,45.82,6.460061108686155,1,6.460061108686155,,,,,
2017-06-02,Sell,48.78,-7.872078720787212,1,7.872078720787212,,,,,
2017-07-03,Sell,44.94,3.515798842901652,-1,-3.515798842901652,,,,,
2017-08-02,Buy,46.52,-0.2149613069647449,-1,-0.2149613069647449,,,,,
2017-09-05,Buy,46.42,2.6712623869021845,1,2.6712623869021845,,,,,
2017-10-02,Buy,47.66,7.595467897608077,1,7.595467897608077,,,,,
2017-11-02,Buy,51.28,-2.6326053042121766,-1,-2.6326053042121766,,,,,
2017-12-04,Buy,49.93,6.649309032645712,1,6.649309032645712,,,,,
2018-01-02,Buy,53.25,4.394366197183097,1,4.394366197183097,,,,,
2018-02-02,Sell,55.59,-2.9501708940456894,1,2.9501708940456894,,,,,
2018-03-02,Sell,53.95,-6.728452270620955,1,6.728452270620955,,,,,
2018-04-02,Sell,50.32,1.7885532591414899,-1,-1.7885532591414899,,,,,
2018-05-02,Buy,51.22,11.206559937524418,1,11.206559937524418,,,,,
2018-06-04,Buy,56.96,-1.0358146067415808,-1,-1.0358146067415808,,,,,
2018-07-02,Buy,56.37,8.763526698598545,1,8.763526698598545,,,,,
2018-08-02,Buy,61.31,-2.381340727450665,-1,-2.381340727450665,,,,,
2018-09-04,Sell,59.85,0.267335004177105,-1,-0.267335004177105,,,,,
2018-10-02,Sell,60.01,-11.864689218463587,1,11.864689218463587,,,,,
2018-11-02,Buy,52.89,4.594441293250151,1,4.594441293250151,,,,,
2018-12-03,Sell,55.32,-5.477223427331889,1,5.477223427331889,,,,,
2019-01-02,Buy,52.29,8.318990246701086,1,8.318990246701086,,,,,
2019-02-04,Buy,56.64,1.3241525423728806,1,1.3241525423728806,,,,,
2019-03-04,Buy,57.39,4.5826799093918735,1,4.5826799093918735,,,,,
2019-04-02,Buy,60.02,-3.1489503498833726,-1,-3.1489503498833726,,,,,
2019-05-02,Sell,58.13,-10.872183038018235,1,10.872183038018235,,,,,
2019-06-03,Sell,51.81,7.237984944991305,-1,-7.237984944991305,,,,,
2019-07-02,Buy,55.56,7.45140388768899,1,7.45140388768899,,,,,
2019-08-02,Sell,59.7,-2.1440536013400346,1,2.1440536013400346,,,,,
2019-09-03,Buy,58.42,0.7018144471071519,1,0.7018144471071519,,,,,
2019-10-02,Buy,58.83,9.756926738058812,1,9.756926738058812,,,,,
2019-11-04,Buy,64.57,-0.10840947808579138,-1,-0.10840947808579138,,,,,
2019-12-02,Buy,64.5,6.000000000000005,1,6.000000000000005,,,,,
2020-01-02,Buy,68.37,8.67339476378528,1,8.67339476378528,,,,,
2020-02-03,Sell,74.3,-6.514131897711984,1,6.514131897711984,,,,,
2020-03-02,Sell,69.46,-19.320472214224004,1,19.320472214224004,,,,,
2020-04-02,Buy,56.04,18.379728765167734,1,18.379728765167734,,,,,
2020-05-04,Buy,66.34,8.471510400964721,1,8.471510400964721,,,,,
2020-06-02,Sell,71.96,1.7648693718732789,-1,-1.7648693718732789,,,,,
2020-07-02,Buy,73.23,0.6691246756793667,1,0.6691246756793667,,,,,
2020-08-03,Buy,73.72,17.213781877373833,1,17.213781877373833,,,,,
2020-09-02,Sell,86.41,-15.61161902557574,1,15.61161902557574,,,,,
2020-10-02,Buy,72.92,11.49204607789358,1,11.49204607789358,,,,,
2020-11-02,Buy,81.3,12.423124231242323,1,12.423124231242323,,,,,
2020-12-02,Sell,91.4,-5.459518599562374,1,5.459518599562374,,,,,
2021-01-04,Buy,86.41,11.538016433283182,1,11.538016433283182,,,,,
2021-02-02,Buy,96.38,7.68831707823201,1,7.68831707823201,,,,,
2021-03-02,Buy,103.79,7.216494845360821,1,7.216494845360821,,,,,
2021-04-05,Buy,111.28,7.620416966211363,1,7.620416966211363,,,,,
2021-05-03,Buy,119.76,1.0855043420173738,1,1.0855043420173738,,,,,
2021-06-02,Buy,121.06,6.327440938377671,1,6.327440938377671,,,,,
2021-07-02,Buy,128.72,5.647917961466753,1,5.647917961466753,,,,,
2021-08-02,Buy,135.99,6.051915582028089,1,6.051915582028089,,,,,
2021-09-02,Sell,144.22,-7.252808209679662,1,7.252808209679662,,,,,
2021-10-04,Buy,133.76,9.04605263157896,1,9.04605263157896,,,,,
2021-11-02,Sell,145.86,-1.4260249554367332,1,1.4260249554367332,,,,,
2021-12-02,Sell,143.78,0.8972040617610144,-1,-0.8972040617610144,,,,,
2022-01-03,Sell,145.07,2.047287516371399,-1,-2.047287516371399,,,,,
2022-02-02,Sell,148.04,-8.97730343150499,1,8.97730343150499,,,,,
2022-03-02,Buy,134.75,6.59740259740258,1,6.59740259740258,,,,,
2022-04-04,Sell,143.64,-18.43497632971317,1,18.43497632971317,,,,,
2022-05-02,Sell,117.16,0.5035848412427546,-1,-0.5035848412427546,,,,,
2022-06-02,Sell,117.75,-3.2781316348195366,1,3.2781316348195366,,,,,
2022-07-05,Buy,113.89,1.7648608306260583,1,1.7648608306260583,,,,,
