Code,Company,Hold,TargetNum,Trade,TradeState
008470,부스타,20.0,0.0,-20.0,-1
008830,대동기어,31.0,0.0,-31.0,-1
020400,대동금속,14.0,0.0,-14.0,-1
032750,삼진,15.0,0.0,-15.0,-1
038950,파인디지털,24.0,0.0,-24.0,-1
039310,세중,57.0,0.0,-57.0,-1
044780,에이치케이,77.0,75.0,-2.0,0
046110,한일네트웍스,26.0,0.0,-26.0,-1
053050,지에스이,86.0,0.0,-86.0,-1
060380,동양에스텍,49.0,0.0,-49.0,-1
090150,아이윈,77.0,0.0,-77.0,-1
094970,제이엠티,43.0,42.0,-1.0,0
126640,화신정공,84.0,0.0,-84.0,-1
212560,네오오토,19.0,0.0,-19.0,-1
221980,케이디켐,8.0,0.0,-8.0,-1
900340,윙입푸드,125.0,0.0,-125.0,-1
024830,세원물산,0.0,28.0,27.0,1
050540,한국코퍼레이션,0.0,215.0,214.0,1
900120,씨케이에이치,0.0,667.0,666.0,1
090740,연이비앤티,0.0,84.0,83.0,1
081580,성우전자,0.0,50.0,49.0,1
190650,코리아에셋투자증권,0.0,16.0,15.0,1
050120,ES큐브,0.0,36.0,35.0,1
065690,파커스,0.0,56.0,55.0,1
225590,패션플랫폼,0.0,90.0,89.0,1
154040,솔루에타,0.0,55.0,54.0,1
121890,에스디시스템,0.0,239.0,238.0,1
093380,풍강,0.0,38.0,37.0,1
900070,글로벌에스엠,0.0,235.0,234.0,1
019570,리더스 기술투자,0.0,368.0,367.0,1
039740,한국정보공학,0.0,37.0,36.0,1
032080,아즈텍WB,0.0,63.0,62.0,1
