Code,Company,EPS,Naver,Investing,OECD_Diff,CAGR,MDD(Now),MDD(Target),Portion,Price,Stock(Now),Stock(Target),Trade
000660,SK하이닉스,5777.0,3.96,적극매수,-0.1,8.767592630886313,36.45833333333333,40.0,20.0,117000,24,23,-1
005930,삼성전자,5777.0,3.96,적극매수,-0.1,6.16679172353547,20.0,40.0,20.0,70000,62,38,-24
