,종목,,EPS,BPS,CPS,SPS,PER,PBR,PCR,PSR,MarketCap,AvgVolume,Close,Rank,PER_Rank,PBR_Rank,PCR_Rank,PSR_Rank,TagetNum,보유량,구매량
0,디시 네트워크,DISH,4.548420105,29.2958791,7.606203559,33.73826047,3.838695546,0.59598826,2.295494706,0.517513344,11010000000,3697713,17.46,12,1,3,2,6,46.0,0,46 
1,PVH - 필립스 반 호이젠,PVH,14.10363164,78.32750922,15.86454921,135.5817669,4.571872099,0.823210142,4.064407953,0.475580172,4380000000,1756895,64.48,15,3,4,4,4,12.0,0,12 
2,루멘 테크놀로지스,LUMN,1.967948778,11.46114783,6.292983279,19.05706227,5.391400487,0.925736249,1.686004798,0.556748981,11430000000,13243120,10.61,19,6,5,1,7,76.0,0,76 
3,에버레스트 리 그룹,RE,34.96833749,257.0918787,97.19923922,300.8842013,7.966063588,1.083503693,2.865866052,0.925804674,10820000000,259729,278.56,43,12,8,3,20,2.0,0,2 
4,월풀,WHR,31.72464531,86.22413414,38.71723398,391.1757303,5.564443614,2.047338622,4.559468274,0.451280553,9770000000,1197804,176.53,49,7,34,5,3,4.0,0,4 
5,모호크 인더스트리스,MHK,16.26014008,132.5384925,20.60327015,176.2781056,8.426741671,1.033812875,6.650400593,0.777294489,8590000000,796217,137.02,49,14,6,15,14,5.0,3,2 
6,인베스코,IVZ,3.581777757,34.05479922,2.321408667,15.15190008,4.757414098,0.500370003,7.340370631,1.124611429,8510000000,4819187,17.04,54,4,2,18,30,47.0,31,16 
7,펄티 그룹,PHM,8.190659732,31.51799801,4.22519739,58.60821202,4.943435733,1.284662814,9.58298424,0.690858817,10080000000,3009328,40.49,59,5,19,24,11,19.0,0,19 
8,펜 내셔널,PENN,2.557566068,24.90587984,5.446375841,35.88979951,11.45229457,1.176027516,5.377888132,0.816109324,5130000000,4221830,29.29,60,21,14,9,16,27.0,0,27 
9,웨스트록,WRK,3.289360512,45.79246569,8.945977612,73.55681868,15.27956568,1.097560466,5.618167425,0.683281318,11640000000,2571135,50.26,67,36,10,11,10,16.0,0,16 
10,프랭클린 리소시스,BEN,3.662955692,22.45020583,2.491177927,16.85355679,6.519325377,1.063687352,9.585826747,1.416911593,13000000000,3440248,23.88,76,8,7,25,36,33.0,0,33 
11,갭,GPS,0.692293735,7.361029476,2.187756373,45.08022093,16.46699866,1.54869642,5.210817869,0.252882523,4040000000,9772437,11.4,76,42,25,8,1,70.0,0,70 
12,알래스카 항공,ALK,3.790888139,30.14469836,8.168650174,48.98017813,12.08423945,1.519670207,5.608025687,0.935276305,5860000000,2149630,45.81,77,23,23,10,21,17.0,0,17 
13,보그워너,BWA,2.24147056,29.00137327,5.451323186,61.93471166,16.07873003,1.242699774,6.611238918,0.581903088,9140000000,2248960,36.04,78,39,17,14,8,22.0,0,22 
14,언더아머 C,UA,0.78000228,4.525403999,1.440229173,12.31216897,11.78201684,2.030757917,6.380928932,0.746416007,4230000000,4673653,9.19,81,22,33,13,13,87.0,0,87 
15,유니버셜 헬스 서비스,UHS,13.33129714,81.87160716,11.88078468,169.9652661,9.141646062,1.488550234,10.25773998,0.717028854,9050000000,733625,121.87,82,16,22,32,12,6.0,0,6 
16,태피스트리,TPR ,3.312915562,12.94388119,5.256900418,22.82067453,8.005033484,2.048844516,5.044797864,1.162104125,7880000000,4607135,26.52,88,13,35,7,33,30.0,0,30 
17,언더아머 A,UAA,0.78000228,4.525403999,1.440229173,12.31216897,12.79483439,2.205327967,6.929452746,0.810580168,4230000000,7771239,9.98,95,26,37,17,15,80.0,0,80 
18,링컨 내셔널,LNC,8.171129102,117.8968891,0.878178288,111.8368773,6.548666571,0.453871179,60.93295717,0.478464718,9060000000,1526077,53.51,96,9,1,81,5,15.0,12,3 
