,항목,,2020,2021,2022(E) 연간컨센서스닫기
0,펼치기 DL이앤씨,,,,12.64
1,당기순이익(지배)<당기>,,,"5,770","5,590"
2,자본총계(지배)<당기>,,,"41,679","46,772"
3,자본총계(지배)<전기>,,,,"41,679"
4,"펼치기 건설,건축관련",,8.84,7.92,10.67
5,당기순이익(지배)<당기>,,"56,053","54,245","53,127"
6,자본총계(지배)<당기>,,"605,025","685,602","514,288"
7,자본총계(지배)<전기>,,"585,822","605,025","685,602"
8,펼치기 코스피,,5.25,10.79,10.30
9,당기순이익(지배)<당기>,,"847,907","1,905,845","1,837,890"
10,자본총계(지배)<당기>,,"16,513,298","18,756,007","18,421,623"
11,자본총계(지배)<전기>,,"15,774,811","16,513,298","18,756,007"
