,항목,2019,2020,2021,2022(E) 연간컨센서스닫기
0,펼치기 금호석유,11.84,20.18,47.76,21.37
1,당기순이익(지배)<당기>,"2,946","5,829","19,655","11,882"
2,자본총계(지배)<당기>,"26,286","31,482","50,818","60,378"
3,자본총계(지배)<전기>,"23,473","26,286","31,482","50,818"
4,펼치기 화학,2.40,4.63,16.13,10.42
5,당기순이익(지배)<당기>,"18,174","32,932","134,754","88,658"
6,자본총계(지배)<당기>,"739,624","730,547","936,104","829,868"
7,자본총계(지배)<전기>,"762,979","739,624","730,547","936,104"
8,펼치기 코스피,4.57,5.25,10.79,10.30
9,당기순이익(지배)<당기>,"714,894","847,907","1,905,845","1,837,890"
10,자본총계(지배)<당기>,"15,774,811","16,513,298","18,756,007","18,421,623"
11,자본총계(지배)<전기>,"15,060,735","15,774,811","16,513,298","18,756,007"
