,항목,2019,2020,2021,2022(E) 연간컨센서스닫기
0,펼치기 LG전자,0.22,13.23,6.32,16.42
1,당기순이익(지배)<당기>,313,"19,683","10,317","30,716"
2,자본총계(지배)<당기>,"143,301","154,375","172,306","201,907"
3,자본총계(지배)<전기>,"142,533","143,301","154,375","172,306"
4,펼치기 IT가전,1.67,7.44,6.66,11.63
5,당기순이익(지배)<당기>,"5,450","25,016","25,814","62,950"
6,자본총계(지배)<당기>,"323,246","346,557","422,874","618,763"
7,자본총계(지배)<전기>,"307,600","323,246","346,557","422,874"
8,펼치기 코스피,4.57,5.25,10.79,10.30
9,당기순이익(지배)<당기>,"714,894","847,907","1,905,845","1,837,890"
10,자본총계(지배)<당기>,"15,774,811","16,513,298","18,756,007","18,421,623"
11,자본총계(지배)<전기>,"15,060,735","15,774,811","16,513,298","18,756,007"
