,항목,2021,2021,2021,2022(E) 연간컨센서스닫기
0,펼치기 SK리츠,,,1.13,
1,당기순이익(지배)<당기>,0,63,88,
2,자본총계(지배)<당기>,3,"7,762","7,766",
3,자본총계(지배)<전기>,,,"7,762","7,766"
4,펼치기 은행,9.98,9.98,9.98,9.84
5,당기순이익(지배)<당기>,"211,310","211,310","211,310","220,089"
6,자본총계(지배)<당기>,"2,236,921","2,236,921","2,236,921","2,288,487"
7,자본총계(지배)<전기>,"1,989,390","1,989,390","1,989,390","2,236,921"
8,펼치기 코스피,10.79,10.79,10.79,10.30
9,당기순이익(지배)<당기>,"1,905,845","1,905,845","1,905,845","1,837,890"
10,자본총계(지배)<당기>,"18,756,007","18,756,007","18,756,007","18,421,623"
11,자본총계(지배)<전기>,"16,513,298","16,513,298","16,513,298","18,756,007"
