,항목,2020,2020,2021,2021(E) 연간컨센서스닫기
0,펼치기 ESR켄달스퀘어리츠,,1.14,1.34,
1,당기순이익(지배)<당기>,-14,54,95,
2,자본총계(지배)<당기>,"2,392","7,107","7,009",
3,자본총계(지배)<전기>,,"2,392","7,107","7,009"
4,펼치기 은행,7.88,7.88,9.98,9.80
5,당기순이익(지배)<당기>,"152,832","152,832","211,310","195,374"
6,자본총계(지배)<당기>,"1,989,390","1,989,390","2,236,921","2,149,267"
7,자본총계(지배)<전기>,"1,792,425","1,792,425","1,989,390","1,989,390"
8,펼치기 코스피,5.25,5.25,10.79,10.71
9,당기순이익(지배)<당기>,"847,907","847,907","1,905,845","1,851,516"
10,자본총계(지배)<당기>,"16,513,298","16,513,298","18,756,007","16,924,392"
11,자본총계(지배)<전기>,"15,774,811","15,774,811","16,513,298","16,513,298"
