,항목,2019,2020,2021,2022(E) 연간컨센서스닫기
0,펼치기 LG디스플레이,-22.35,-0.83,9.68,4.01
1,당기순이익(지배)<당기>,"-28,297",-949,"11,862","5,358"
2,자본총계(지배)<당기>,"113,405","113,955","131,189","136,335"
3,자본총계(지배)<전기>,"139,792","113,405","113,955","131,189"
4,펼치기 디스플레이,-13.14,-0.25,8.70,7.50
5,당기순이익(지배)<당기>,"-28,455",-205,"19,959","12,652"
6,자본총계(지배)<당기>,"204,579","219,666","240,347","169,312"
7,자본총계(지배)<전기>,"223,285","204,579","219,666","240,347"
8,펼치기 코스피,4.57,5.25,10.79,10.30
9,당기순이익(지배)<당기>,"714,894","847,907","1,905,845","1,837,890"
10,자본총계(지배)<당기>,"15,774,811","16,513,298","18,756,007","18,421,623"
11,자본총계(지배)<전기>,"15,060,735","15,774,811","16,513,298","18,756,007"
