,항목,2020,2020,2021,2022(E) 연간컨센서스닫기
0,펼치기 NH프라임리츠,2.95,2.16,4.15,
1,당기순이익(지배)<당기>,27,20,39,
2,자본총계(지배)<당기>,929,927,942,
3,자본총계(지배)<전기>,925,929,927,942
4,펼치기 은행,7.88,7.88,9.98,9.84
5,당기순이익(지배)<당기>,"152,832","152,832","211,310","220,089"
6,자본총계(지배)<당기>,"1,989,390","1,989,390","2,236,921","2,288,487"
7,자본총계(지배)<전기>,"1,792,425","1,792,425","1,989,390","2,236,921"
8,펼치기 코스피,5.25,5.25,10.79,10.30
9,당기순이익(지배)<당기>,"847,907","847,907","1,905,845","1,837,890"
10,자본총계(지배)<당기>,"16,513,298","16,513,298","18,756,007","18,421,623"
11,자본총계(지배)<전기>,"15,774,811","15,774,811","16,513,298","18,756,007"
