,Signal,Price,PTC_Price,Score,CostScore,Prec,Recall,Accuracy,FScore,AltCostScore
2000-10-02,Sell,3568.9,-3.9194149457816185,1,3.9194149457816185,59.74025974025974,34.32835820895522,48.03493449781659,43.60189573459715,-2.786401766558666
2000-11-02,Sell,3429.02,-23.717271990247944,1,23.717271990247944,,,,,
2000-12-04,Sell,2615.75,-12.382299531683072,1,12.382299531683072,,,,,
2001-01-02,Sell,2291.86,16.084752122729995,-1,-16.084752122729995,,,,,
2001-02-02,Sell,2660.5,-20.40481112572824,1,20.40481112572824,,,,,
2001-03-02,Sell,2117.63,-15.803516194991573,1,15.803516194991573,,,,,
2001-04-02,Sell,1782.97,24.545000757163592,-1,-24.545000757163592,,,,,
2001-05-02,Sell,2220.6,-2.91227596145186,1,2.91227596145186,,,,,
2001-06-04,Sell,2155.93,-0.3344264424169685,1,0.3344264424169685,,,,,
2001-07-02,Sell,2148.72,-2.854722811720456,1,2.854722811720456,,,,,
2001-08-02,Sell,2087.38,-15.167338960802546,1,15.167338960802546,,,,,
2001-09-04,Sell,1770.78,-15.724708885349958,1,15.724708885349958,,,,,
2001-10-02,Sell,1492.33,16.980158544021773,-1,-16.980158544021773,,,,,
2001-11-02,Sell,1745.73,9.117675700136907,-1,-9.117675700136907,,,,,
2001-12-03,Sell,1904.9,3.9030920258281254,-1,-3.9030920258281254,,,,,
2002-01-02,Sell,1979.25,-6.250852595680179,1,6.250852595680179,,,,,
2002-02-04,Sell,1855.53,0.2042543100893024,-1,-0.2042543100893024,,,,,
2002-03-04,Sell,1859.32,-2.9537680442312197,1,2.9537680442312197,,,,,
2002-04-02,Sell,1804.4,-8.843937042784312,1,8.843937042784312,,,,,
2002-05-02,Sell,1644.82,-5.001155141596037,1,5.001155141596037,,,,,
2002-06-03,Sell,1562.56,-13.102856850296952,1,13.102856850296952,,,,,
2002-07-02,Sell,1357.82,-8.093856328526595,1,8.093856328526595,,,,,
2002-08-02,Sell,1247.92,1.2757228027437506,-1,-1.2757228027437506,,,,,
2002-09-03,Sell,1263.84,-6.0561463476389354,1,6.0561463476389354,,,,,
2002-10-02,Sell,1187.3,17.62317864061316,-1,-17.62317864061316,,,,,
2002-11-04,Sell,1396.54,6.318472797055574,-1,-6.318472797055574,,,,,
2002-12-02,Sell,1484.78,-6.730290009294315,1,6.730290009294315,,,,,
2003-01-02,Sell,1384.85,-4.409141784308767,1,4.409141784308767,,,,,
2003-02-03,Sell,1323.79,-0.2643923885208399,1,0.2643923885208399,,,,,
2003-03-03,Sell,1320.29,5.788879715820006,-1,-5.788879715820006,,,,,
2003-04-02,Sell,1396.72,7.600664413769409,-1,-7.600664413769409,,,,,
2003-05-02,Sell,1502.88,5.846774193548376,-1,-5.846774193548376,,,,,
2003-06-02,Buy,1590.75,5.530724501021522,1,5.530724501021522,,,,,
2003-07-02,Buy,1678.73,2.1045671430188317,1,2.1045671430188317,,,,,
2003-08-04,Buy,1714.06,7.433812118595617,1,7.433812118595617,,,,,
2003-09-02,Buy,1841.48,-0.2856398114560066,-1,-0.2856398114560066,,,,,
2003-10-02,Sell,1836.22,7.160362048120605,-1,-7.160362048120605,,,,,
2003-11-03,Buy,1967.7,0.628652741779745,1,0.628652741779745,,,,,
2003-12-02,Buy,1980.07,1.3438918826102153,1,1.3438918826102153,,,,,
2004-01-02,Buy,2006.68,2.8141009029840403,1,2.8141009029840403,,,,,
2004-02-02,Buy,2063.15,-1.1390349707970815,-1,-1.1390349707970815,,,,,
2004-03-02,Sell,2039.65,0.858970901870415,-1,-0.858970901870415,,,,,
2004-04-02,Sell,2057.17,-5.7579101386856735,1,5.7579101386856735,,,,,
2004-05-03,Sell,1938.72,2.5924321201617584,-1,-2.5924321201617584,,,,,
