항목,"2017/12
(IFRS별도)",2018/12,2019/12,2020/12,2021/12,전년대비
매출액(수익),977.7,990.1,665.9,"1,518.4","1,211.4",-20.2
*내수,,,,,,
*수출,,,,,,
매출원가,624.7,608.5,431.7,938.6,931.9,-0.7
매출총이익,353.0,381.6,234.1,579.8,279.5,-51.8
판매비와관리비,65.2,110.8,142.8,192.6,231.6,20.3
영업이익,287.8,270.8,91.4,387.2,47.9,-87.6
*기타영업손익,,,,,,
영업이익(발표기준),287.8,270.8,91.4,387.2,47.9,-87.6
*[구K-IFRS]영업이익,,,,,,
금융수익,6.6,9.8,11.1,14.3,14.1,-1.1
금융원가,17.6,30.9,112.9,79.2,9.1,-88.5
기타영업외손익,-26.2,1.0,-1.2,1.1,4.2,283.9
"종속기업,공동지배기업및관계기업관련손익",,,,,-1.1,
법인세비용차감전계속사업이익,250.6,250.7,-11.6,323.3,55.9,-82.7
법인세비용,57.5,46.4,6.3,76.2,7.6,-90.0
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,193.1,204.3,-17.9,247.1,48.4,-80.4
중단사업이익,,,,,,
*중단사업법인세효과,,,,,,
당기순이익,193.1,204.3,-17.9,247.1,48.4,-80.4
기타포괄이익,,0.6,1.6,0.4,-8.2,"-1,938.9"
총포괄이익,193.1,205.0,-16.3,247.6,40.2,-83.8
*주당계속사업이익,"96,556","102,172","-8,957","1,756",196,-89
*주당순이익,"96,556","102,172","-8,957","1,756",196,-89
*희석주당계속사업이익,,"86,166",,"1,182",,
*희석주당순이익,,"86,166",,"1,182",,
*(지배주주지분)주당계속사업이익,"96,556","102,172","-8,957","1,756",196,-89
*(지배주주지분)주당순이익,"96,556","102,172","-8,957","1,756",196,-89
*(지배주주지분)희석주당계속사업이익,,"86,166",,"1,182",,
*(지배주주지분)희석주당순이익,,"86,166",,"1,182",,
