항목,2017/12,2018/12,2019/12,2020/12,2021/12,전년대비
매출액(수익),"1,268.0","1,094.5",992.9,810.5,600.1,-26.0
*내수,,,992.9,788.1,,
*수출,,,,22.4,,
매출원가,,,,,,
매출총이익,"1,268.0","1,094.5",992.9,810.5,600.1,-26.0
판매비와관리비,"1,114.5",995.2,"1,063.3",972.8,716.5,-26.4
영업이익,153.5,99.3,-70.4,-162.3,-116.4,28.3
*기타영업손익,,,,,,
영업이익(발표기준),153.5,99.3,-70.4,-162.3,-116.4,28.3
*[구K-IFRS]영업이익,,,,,,
금융수익,16.0,16.5,12.1,11.8,7.6,-36.1
금융원가,4.1,1.1,3.9,3.5,29.3,726.7
기타영업외손익,-43.8,-234.4,-571.1,7.1,1.4,-80.6
"종속기업,공동지배기업및관계기업관련손익",-66.4,55.5,2.1,-0.1,54.5,"41,690.8"
법인세비용차감전계속사업이익,55.1,-64.1,-631.3,-147.0,-82.2,44.0
법인세비용,28.7,34.8,31.5,35.5,18.8,-47.2
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,26.4,-99.0,-662.8,-182.5,-101.0,44.6
중단사업이익,,,,,,
*중단사업법인세효과,,,,,,
당기순이익,26.4,-99.0,-662.8,-182.5,-101.0,44.6
기타포괄이익,0.3,-1.9,-1.8,0.6,18.1,"2,826.0"
총포괄이익,26.7,-100.9,-664.5,-181.9,-82.9,54.4
*주당계속사업이익,18,-70,-461,-127,-71,44
*주당순이익,18,-70,-461,-127,-71,44
*희석주당계속사업이익,,,,,,
*희석주당순이익,,,,,,
*(지배주주지분)주당계속사업이익,18,-70,-461,-127,-71,44
*(지배주주지분)주당순이익,18,-70,-461,-127,-71,44
*(지배주주지분)희석주당계속사업이익,,,,,,
*(지배주주지분)희석주당순이익,,,,,,
