항목,2017/12,2018/12,2019/12,2020/12,2021/12,전년대비
매출액(수익),271.7,342.9,412.4,415.0,387.0,-6.8
*내수,38.1,31.8,35.9,27.9,,
*수출,233.6,311.1,376.5,387.1,,
매출원가,215.2,236.0,283.5,300.9,299.4,-0.5
매출총이익,56.6,107.0,128.9,114.1,87.6,-23.3
판매비와관리비,305.2,219.6,211.0,298.7,362.7,21.4
영업이익,-248.6,-112.6,-82.1,-184.6,-275.2,-49.1
*기타영업손익,,,,,,
영업이익(발표기준),-248.6,-112.6,-82.1,-184.6,-275.2,-49.1
*[구K-IFRS]영업이익,,,,,,
금융수익,3.3,3.3,2.6,23.1,86.2,273.3
금융원가,18.4,13.9,19.7,14.3,67.9,375.2
기타영업외손익,31.0,5.8,27.7,-6.5,100.8,"1,660.6"
"종속기업,공동지배기업및관계기업관련손익",,,,,,
법인세비용차감전계속사업이익,-232.8,-117.4,-71.4,-182.3,-156.2,14.3
법인세비용,4.5,1.6,4.7,4.2,3.4,-20.6
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,-237.3,-119.0,-76.2,-186.5,-159.5,14.5
중단사업이익,,,,,,
*중단사업법인세효과,,,,,,
당기순이익,-237.3,-119.0,-76.2,-186.5,-159.5,14.5
기타포괄이익,-18.7,-0.7,-6.0,-13.0,-3.6,72.5
총포괄이익,-256.0,-119.7,-82.2,-199.5,-163.1,18.3
*주당계속사업이익,"-1,329",-567,-356,-309,-215,30
*주당순이익,"-1,329",-567,-356,-309,-215,30
*희석주당계속사업이익,,,,,,
*희석주당순이익,,,,,,
*(지배주주지분)주당계속사업이익,"-1,329",-567,-356,-309,-215,30
*(지배주주지분)주당순이익,"-1,329",-567,-356,-309,-215,30
*(지배주주지분)희석주당계속사업이익,,,,,,
*(지배주주지분)희석주당순이익,,,,,,
