항목,2017/12,2018/12,2019/12,2020/12,2021/12,전년대비
매출액(수익),628.5,831.0,908.8,981.2,"1,156.6",17.9
*내수,622.6,,908.8,981.2,,
*수출,7.0,,,,,
매출원가,328.7,424.6,442.7,528.5,703.2,33.0
매출총이익,299.9,406.4,466.1,452.7,453.4,0.1
판매비와관리비,264.2,353.1,385.4,390.0,441.4,13.2
영업이익,35.7,53.3,80.7,62.7,12.0,-80.9
*기타영업손익,,,,,,
영업이익(발표기준),35.7,53.3,80.7,62.7,12.0,-80.9
*[구K-IFRS]영업이익,,,,,,
금융수익,4.9,4.4,8.3,4.5,3.8,-15.7
금융원가,5.7,12.9,18.1,23.1,24.2,4.9
기타영업외손익,5.8,-1.0,-8.6,-9.9,-0.9,90.9
"종속기업,공동지배기업및관계기업관련손익",7.6,2.7,3.6,2.9,5.5,91.5
법인세비용차감전계속사업이익,48.1,46.5,66.0,37.1,-3.8,-110.3
법인세비용,5.2,3.4,10.4,13.0,5.4,-58.6
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,42.9,43.1,55.6,24.1,-9.2,-138.2
중단사업이익,,,,,,
*중단사업법인세효과,,,,,,
당기순이익,42.9,43.1,55.6,24.1,-9.2,-138.2
기타포괄이익,-0.0,-5.1,-5.5,62.3,-18.1,-129.1
총포괄이익,42.9,38.1,50.2,86.5,-27.3,-131.6
*주당계속사업이익,812,639,756,83,-157,-289
*주당순이익,812,639,756,83,-157,-289
*희석주당계속사업이익,800,563,753,,,
*희석주당순이익,800,563,753,,,
*(지배주주지분)주당계속사업이익,812,639,756,83,-157,-289
*(지배주주지분)주당순이익,812,639,756,83,-157,-289
*(지배주주지분)희석주당계속사업이익,800,563,753,,,
*(지배주주지분)희석주당순이익,800,563,753,,,
