항목,"2017/11
(IFRS별도)","2018/11
(IFRS별도)","2019/11
(IFRS별도)","2020/11
(IFRS별도)","2021/11
(IFRS별도)",전년대비
매출액(수익),"1,275.8","1,307.9","1,346.5","1,329.7","1,398.0",5.1
*내수,"1,304.0",,"1,349.1","1,329.2",,
*수출,0.8,,0.2,0.4,,
매출원가,689.6,703.2,709.7,746.4,834.9,11.8
매출총이익,586.3,604.7,636.8,583.2,563.1,-3.4
판매비와관리비,598.5,631.3,616.4,552.7,578.8,4.7
영업이익,-12.2,-26.6,20.4,30.5,-15.7,-151.5
*기타영업손익,,,,,,
영업이익(발표기준),-12.2,-26.6,20.4,30.5,-15.7,-151.5
*[구K-IFRS]영업이익,,,,,,
금융수익,13.6,3.6,2.5,3.5,3.9,10.1
금융원가,10.1,9.6,11.6,11.4,10.2,-10.4
기타영업외손익,-11.7,0.5,2.5,3.5,-22.1,-738.9
"종속기업,공동지배기업및관계기업관련손익",2.4,0.7,1.3,0.7,4.0,470.9
법인세비용차감전계속사업이익,-18.1,-31.3,15.2,26.8,-40.2,-249.9
법인세비용,-1.7,-10.2,3.1,5.0,-8.5,-270.9
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,-16.4,-21.1,12.1,21.9,-31.7,-245.1
중단사업이익,,,,,,
*중단사업법인세효과,,,,,,
당기순이익,-16.4,-21.1,12.1,21.9,-31.7,-245.1
기타포괄이익,23.8,-19.1,-22.5,1.6,8.2,420.4
총포괄이익,7.4,-40.2,-10.4,23.4,-23.6,-200.5
*주당계속사업이익,-69,-76,44,80,-114,-243
*주당순이익,-69,-76,44,80,-114,-243
*희석주당계속사업이익,,,,,,
*희석주당순이익,,,,,,
*(지배주주지분)주당계속사업이익,-69,-76,44,80,-114,-243
*(지배주주지분)주당순이익,-69,-76,44,80,-114,-243
*(지배주주지분)희석주당계속사업이익,,,,,,
*(지배주주지분)희석주당순이익,,,,,,
