항목,2017/12,2018/12,2019/12,2020/12,2021/12,전년대비
순이자이익,27.6,8.6,-5.5,29.0,53.2,83.7
순수수료이익,101.3,88.9,132.8,182.7,236.7,29.5
금융상품관련이익,47.5,-0.0,11.3,29.0,70.8,144.4
위험회피회계파생상품관련이익,,,,,,
외환거래(환율변동)손익,,,,,,
금융자산관련이익,-15.3,-47.5,-4.8,-2.4,-0.3,86.5
기타영업이익,20.9,52.1,31.7,29.0,38.5,32.9
순영업이익,182.1,102.0,165.6,267.3,399.0,49.3
*(회사기재상)순영업이익,,,,,,
판매비와관리비,278.7,216.5,219.6,238.4,261.0,9.5
영업이익,-96.6,-114.5,-54.0,28.9,137.9,378.1
영업외수익,48.5,10.8,14.4,14.0,32.6,132.2
영업외비용,1.4,4.4,7.0,13.8,69.5,401.9
법인세비용차감전계속사업이익,-49.5,-108.1,-46.6,29.0,101.0,247.8
법인세비용,-1.0,-14.1,33.6,4.0,11.2,177.1
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,-48.5,-94.0,-80.3,25.0,89.8,259.3
중단사업이익,4.3,,,,,
*중단사업이익법인세효과,,,,,,
당기순이익,-44.2,-94.0,-80.3,25.0,89.8,259.3
기타포괄이익,17.9,6.8,68.3,184.8,113.2,-38.8
총포괄이익,-26.3,-87.3,-12.0,209.8,203.0,-3.3
*주당계속사업이익,-78,-199,-95,27,95,252
*주당순이익,-75,-199,-95,27,95,252
*희석주당계속사업이익,,,,,92,
*희석주당순이익,,,,,92,
*(지배주주지분)주당계속사업이익,-78,-199,-95,27,95,252
*(지배주주지분)주당순이익,-75,-199,-95,27,95,252
*(지배주주지분)희석주당계속사업이익,,,,,92,
*(지배주주지분)희석주당순이익,,,,,92,
