항목,2017/12,2018/12,2019/12,2020/12,2021/12,전년대비
매출액(수익),"4,174.1","4,343.5","4,859.9","5,019.8","5,430.4",8.2
*내수,,,,,,
*수출,,,,,,
매출원가,"2,165.2","2,403.4","2,726.3","2,783.2","3,104.2",11.5
매출총이익,"2,008.8","1,940.1","2,133.6","2,236.6","2,326.1",4.0
판매비와관리비,"1,493.2","1,574.8","1,890.4","1,947.3","2,001.0",2.8
영업이익,515.6,365.3,243.2,289.3,325.2,12.4
*기타영업손익,,,,,,
영업이익(발표기준),515.6,365.3,243.2,289.3,325.2,12.4
*[구K-IFRS]영업이익,,,,,,
금융수익,32.2,35.3,35.0,37.2,39.0,5.1
금융원가,67.7,9.1,16.7,11.3,9.7,-13.8
기타영업외손익,9.9,-16.3,22.7,-6.6,-123.0,"-1,770.6"
"종속기업,공동지배기업및관계기업관련손익",,,,,11.4,
법인세비용차감전계속사업이익,490.0,375.2,284.2,308.6,242.9,-21.3
법인세비용,140.7,70.8,120.4,191.0,81.3,-57.4
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,349.3,304.3,163.8,117.6,161.6,37.4
중단사업이익,,,,,,
*중단사업법인세효과,,,,,,
당기순이익,349.3,304.3,163.8,117.6,161.6,37.4
기타포괄이익,-409.3,-14.6,114.2,-136.5,472.7,446.2
총포괄이익,-59.9,289.8,278.0,-19.0,634.3,"3,442.2"
*주당계속사업이익,644,561,302,219,311,42
*주당순이익,644,561,302,219,311,42
*희석주당계속사업이익,,,,,,
*희석주당순이익,,,,,,
*(지배주주지분)주당계속사업이익,644,561,302,219,311,42
*(지배주주지분)주당순이익,644,561,302,219,311,42
*(지배주주지분)희석주당계속사업이익,,,,,,
*(지배주주지분)희석주당순이익,,,,,,
