항목,2017/12,2018/12,2019/12,2020/12,2021/12,전년대비
매출액(수익),268.3,473.8,869.0,489.9,393.0,-19.8
*내수,,473.8,869.0,,,
*수출,,,,,,
매출원가,185.1,283.3,578.1,249.9,190.3,-23.9
매출총이익,83.2,190.4,290.9,240.0,202.7,-15.5
판매비와관리비,242.6,278.0,311.1,236.7,216.9,-8.4
영업이익,-159.4,-87.6,-20.2,3.3,-14.2,-537.6
*기타영업손익,,,,,,
영업이익(발표기준),-159.4,-87.6,-20.2,3.3,-14.2,-537.6
*[구K-IFRS]영업이익,,,,,,
금융수익,0.6,1.7,3.4,1.4,1.4,-0.3
금융원가,28.8,17.9,39.7,10.0,9.9,-1.1
기타영업외손익,-157.6,-34.4,-190.9,-151.8,-145.9,3.8
"종속기업,공동지배기업및관계기업관련손익",-1.8,,,,,
법인세비용차감전계속사업이익,-347.1,-138.2,-247.4,-157.2,-168.7,-7.3
법인세비용,,2.0,6.3,3.5,-6.7,-291.4
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,-347.1,-140.2,-253.6,-160.7,-162.0,-0.8
중단사업이익,-32.3,,,-32.7,15.5,147.4
*중단사업법인세효과,-1.4,,,,,
당기순이익,-379.4,-140.2,-253.6,-193.4,-146.5,24.3
기타포괄이익,0.1,-1.1,-1.8,-0.9,0.6,173.7
총포괄이익,-379.3,-141.3,-255.4,-194.3,-145.8,24.9
*주당계속사업이익,"-2,261",-307,-501,-275,-249,9
*주당순이익,"-2,471",-307,-501,-318,-221,31
*희석주당계속사업이익,,,,,,
*희석주당순이익,,,,,,
*(지배주주지분)주당계속사업이익,"-2,261",-307,-501,-275,-249,9
*(지배주주지분)주당순이익,"-2,471",-307,-501,-318,-221,31
*(지배주주지분)희석주당계속사업이익,,,,,,
*(지배주주지분)희석주당순이익,,,,,,
