항목,2020/09,2021/03,2021/09,전년대비
매출액(수익),107.8,150.6,167.6,11.3
*내수,,,,
*수출,,,,
매출원가,,,,
매출총이익,107.8,150.6,167.6,11.3
판매비와관리비,60.1,66.4,116.7,75.8
영업이익,47.7,84.2,50.9,-39.6
*기타영업손익,,,,
영업이익(발표기준),47.7,84.2,50.9,-39.6
*[구K-IFRS]영업이익,,,,
금융수익,0.5,0.7,0.7,1.3
금융원가,95.3,107.9,91.3,-15.4
기타영업외손익,-0.1,0.2,0.3,93.7
"종속기업,공동지배기업및관계기업관련손익",,,64.4,
법인세비용차감전계속사업이익,-47.1,-22.9,25.0,209.3
법인세비용,,,,
종속회사매수일전순손익,,,,
처분된종속회사순손익,,,,
계속사업이익,-47.1,-22.9,25.0,209.3
중단사업이익,,,,
*중단사업법인세효과,,,,
당기순이익,-47.1,-22.9,25.0,209.3
기타포괄이익,,,,
총포괄이익,-47.1,-22.9,25.0,209.3
*주당계속사업이익,-584,-210,87,141
*주당순이익,-584,-210,87,141
*희석주당계속사업이익,,,,
*희석주당순이익,,,,
*(지배주주지분)주당계속사업이익,-584,-210,87,141
*(지배주주지분)주당순이익,-584,-210,87,141
*(지배주주지분)희석주당계속사업이익,,,,
*(지배주주지분)희석주당순이익,,,,
