항목,2017/12,2018/12,2019/12,2020/12,2021/12,전년대비
매출액(수익),"6,019.6","6,508.7","6,155.8","5,307.9","5,214.4",-1.8
*내수,,,"6,155.8","5,307.9",,
*수출,,,,,,
매출원가,"5,837.1","6,039.0","5,708.4","5,047.2","5,419.0",7.4
매출총이익,182.4,469.7,447.4,260.7,-204.6,-178.5
판매비와관리비,549.7,591.1,587.3,469.0,528.3,12.6
영업이익,-367.3,-121.4,-139.8,-208.3,-732.9,-251.8
*기타영업손익,,,,,,
영업이익(발표기준),-367.3,-121.4,-139.8,-208.3,-732.9,-251.8
*[구K-IFRS]영업이익,,,,,,
금융수익,5.4,3.8,7.5,1.2,1.3,7.9
금융원가,68.3,72.3,65.6,68.8,63.7,-7.4
기타영업외손익,-39.8,116.5,248.9,134.9,444.1,229.3
"종속기업,공동지배기업및관계기업관련손익",-31.3,-36.4,-25.4,-31.0,,
법인세비용차감전계속사업이익,-501.3,-109.9,25.5,-172.1,-351.1,-104.1
법인세비용,-90.3,-8.8,22.8,-57.8,-113.8,-96.9
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,-411.0,-101.1,2.8,-114.3,-237.4,-107.7
중단사업이익,,,,,,
*중단사업법인세효과,,,,,,
당기순이익,-411.0,-101.1,2.8,-114.3,-237.4,-107.7
기타포괄이익,2.5,73.2,-62.9,14.2,54.0,281.2
총포괄이익,-408.5,-28.0,-60.2,-100.1,-183.4,-83.2
*주당계속사업이익,"-1,133",-180,-32,-117,-281,-140
*주당순이익,"-1,133",-180,-32,-117,-281,-140
*희석주당계속사업이익,,-167,-28,,,
*희석주당순이익,,-167,-28,,,
*(지배주주지분)주당계속사업이익,"-1,133",-180,-32,-117,-281,-140
*(지배주주지분)주당순이익,"-1,133",-180,-32,-117,-281,-140
*(지배주주지분)희석주당계속사업이익,,-167,-28,,,
*(지배주주지분)희석주당순이익,,-167,-28,,,
