항목,"2020/11
(IFRS별도)","2021/05
(IFRS별도)","2021/11
(IFRS별도)",전년대비
매출액(수익),78.7,57.9,58.4,1.0
*내수,,,,
*수출,,,,
매출원가,,,,
매출총이익,78.7,57.9,58.4,1.0
판매비와관리비,34.0,21.2,27.5,30.1
영업이익,44.7,36.7,30.9,-15.8
*기타영업손익,,,,
영업이익(발표기준),44.7,36.7,30.9,-15.8
*[구K-IFRS]영업이익,,,,
금융수익,0.1,0.0,0.0,20.6
금융원가,52.5,24.9,25.1,0.9
기타영업외손익,,0.0,,
"종속기업,공동지배기업및관계기업관련손익",,,,
법인세비용차감전계속사업이익,-7.8,11.9,5.8,-50.9
법인세비용,,,,
종속회사매수일전순손익,,,,
처분된종속회사순손익,,,,
계속사업이익,-7.8,11.9,5.8,-50.9
중단사업이익,,,,
*중단사업법인세효과,,,,
당기순이익,-7.8,11.9,5.8,-50.9
기타포괄이익,,,,
총포괄이익,-7.8,11.9,5.8,-50.9
*주당계속사업이익,-81,59,29,-51
*주당순이익,-81,59,29,-51
*희석주당계속사업이익,,,,
*희석주당순이익,,,,
*(지배주주지분)주당계속사업이익,-81,59,29,-51
*(지배주주지분)주당순이익,-81,59,29,-51
*(지배주주지분)희석주당계속사업이익,,,,
*(지배주주지분)희석주당순이익,,,,
