항목,2017/12,2018/12,2019/12,2020/12,2021/12,전년대비
매출액(수익),"7,619.8","7,314.3","6,683.0","7,079.3","9,323.6",31.7
*내수,"4,305.2","3,876.2","4,232.1","5,384.5",,
*수출,"3,314.7","3,438.1","2,450.9","1,694.8",,
매출원가,"6,873.5","6,657.8","6,053.9","6,345.9","8,530.2",34.4
매출총이익,746.3,656.5,629.1,733.4,793.4,8.2
판매비와관리비,686.7,604.1,514.9,595.6,589.4,-1.0
영업이익,59.7,52.3,114.2,137.8,204.0,48.1
*기타영업손익,,,,,,
영업이익(발표기준),59.7,52.3,114.2,137.8,204.0,48.1
*[구K-IFRS]영업이익,,,,,,
금융수익,153.9,48.3,22.3,95.6,216.2,126.1
금융원가,98.0,133.9,130.4,148.1,124.4,-16.0
기타영업외손익,-133.3,-97.6,23.0,-35.2,-98.7,-180.2
"종속기업,공동지배기업및관계기업관련손익",,,,,,
법인세비용차감전계속사업이익,-17.8,-131.0,29.2,50.1,197.1,293.7
법인세비용,3.1,13.5,-6.9,1.9,47.6,"2,430.8"
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,-20.9,-144.4,36.0,48.2,149.5,210.2
중단사업이익,,,,,,
*중단사업법인세효과,,,,,,
당기순이익,-20.9,-144.4,36.0,48.2,149.5,210.2
기타포괄이익,23.7,-3.1,-2.0,3.4,14.5,325.7
총포괄이익,2.8,-147.5,34.0,51.6,164.0,217.8
*주당계속사업이익,-56,-390,97,130,403,210
*주당순이익,-56,-390,97,130,403,210
*희석주당계속사업이익,,,,,,
*희석주당순이익,,,,,,
*(지배주주지분)주당계속사업이익,-56,-390,97,130,403,210
*(지배주주지분)주당순이익,-56,-390,97,130,403,210
*(지배주주지분)희석주당계속사업이익,,,,,,
*(지배주주지분)희석주당순이익,,,,,,
