항목,2017/12,2018/12,2019/12,2020/12,"2021/12
(IFRS별도)"
매출액(수익),77.1,64.5,74.8,57.7,78.1
*내수,68.4,55.9,,45.9,
*수출,8.6,8.5,,11.8,
매출원가,53.4,49.2,53.9,29.1,36.9
매출총이익,23.7,15.3,20.8,28.6,41.2
판매비와관리비,53.1,29.5,19.5,21.7,32.2
영업이익,-29.4,-14.2,1.4,6.9,9.0
*기타영업손익,,,,,
영업이익(발표기준),-29.4,-14.2,1.4,6.9,9.0
*[구K-IFRS]영업이익,,,,,
금융수익,3.1,4.2,6.7,19.5,6.4
금융원가,2.1,2.8,5.5,5.6,6.9
기타영업외손익,1.4,-95.6,90.9,195.6,-139.6
"종속기업,공동지배기업및관계기업관련손익",,,-4.5,28.5,-59.7
법인세비용차감전계속사업이익,-27.0,-108.4,88.9,244.9,-190.7
법인세비용,,,-51.3,48.2,0.5
종속회사매수일전순손익,,,,,
처분된종속회사순손익,,,,,
계속사업이익,-27.0,-108.4,140.2,196.7,-191.2
중단사업이익,,,,,10.4
*중단사업법인세효과,,,,,
당기순이익,-27.0,-108.4,140.2,196.7,-180.8
기타포괄이익,-3.1,2.8,4.3,2.7,-2.7
총포괄이익,-30.1,-105.7,144.5,199.4,-183.5
*주당계속사업이익,-36,-105,109,153,-149
*주당순이익,-36,-105,109,153,-141
*희석주당계속사업이익,,,,,
*희석주당순이익,,,,,
*(지배주주지분)주당계속사업이익,-36,-105,109,153,-149
*(지배주주지분)주당순이익,-36,-105,109,153,-141
*(지배주주지분)희석주당계속사업이익,,,,,
*(지배주주지분)희석주당순이익,,,,,
