항목,2017/12,2018/12,2019/12,2020/12,2021/12,전년대비
매출액(수익),"3,397.2","3,607.3","3,809.0","3,146.5","2,894.8",-8.0
*내수,,,"2,266.2","1,581.7",,
*수출,,,"1,542.8","1,564.8",,
매출원가,"3,080.7","3,203.2","3,473.4","3,019.8","2,742.4",-9.2
매출총이익,316.5,404.1,335.7,126.6,152.4,20.4
판매비와관리비,113.2,143.5,106.5,94.3,112.2,19.0
영업이익,203.3,260.7,229.2,32.4,40.3,24.4
*기타영업손익,,,,,,
영업이익(발표기준),203.3,260.7,229.2,32.4,40.3,24.4
*[구K-IFRS]영업이익,,,,,,
금융수익,8.0,13.6,16.6,13.6,16.0,17.1
금융원가,9.5,8.4,13.7,19.0,9.5,-49.8
기타영업외손익,37.6,11.3,17.7,1.7,15.2,773.2
"종속기업,공동지배기업및관계기업관련손익",,,,,,
법인세비용차감전계속사업이익,239.5,277.1,249.8,28.8,61.9,114.9
법인세비용,68.4,89.9,59.4,8.4,15.0,79.1
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,171.0,187.3,190.4,20.4,46.9,129.6
중단사업이익,,,,,,
*중단사업법인세효과,,,,,,
당기순이익,171.0,187.3,190.4,20.4,46.9,129.6
기타포괄이익,-80.4,34.5,16.3,-21.3,90.2,524.0
총포괄이익,90.7,221.7,206.7,-0.8,137.0,"16,369.0"
*주당계속사업이익,"1,514","1,658","1,686",181,412,128
*주당순이익,"1,514","1,658","1,686",181,412,128
*희석주당계속사업이익,,,"1,652",,370,
*희석주당순이익,,,"1,652",,370,
*(지배주주지분)주당계속사업이익,"1,514","1,658","1,686",181,412,128
*(지배주주지분)주당순이익,"1,514","1,658","1,686",181,412,128
*(지배주주지분)희석주당계속사업이익,,,"1,652",,370,
*(지배주주지분)희석주당순이익,,,"1,652",,370,
