항목,2017/12,2018/12,2019/12,2020/12,2021/12,전년대비
매출액(수익),"2,657.2","2,986.7","3,645.8","3,633.8","3,172.6",-12.7
*내수,"2,657.2","2,986.7","3,645.8","3,633.8",,
*수출,,,,,,
매출원가,"2,291.1","2,615.5","3,271.3","3,365.1","2,907.6",-13.6
매출총이익,366.1,371.2,374.6,268.6,265.0,-1.4
판매비와관리비,124.1,127.1,138.9,132.4,134.2,1.4
영업이익,242.0,244.1,235.7,136.3,130.8,-4.0
*기타영업손익,,,,,,
영업이익(발표기준),242.0,244.1,235.7,136.3,130.8,-4.0
*[구K-IFRS]영업이익,,,,,,
금융수익,73.8,38.8,45.7,40.1,47.0,17.4
금융원가,21.6,2.6,22.1,10.2,3.0,-70.6
기타영업외손익,-3.1,2.4,14.8,8.0,10.1,26.5
"종속기업,공동지배기업및관계기업관련손익",-6.8,-5.8,-1.3,58.9,-0.4,-100.6
법인세비용차감전계속사업이익,284.1,277.0,272.9,233.0,184.6,-20.8
법인세비용,69.8,70.7,57.6,45.2,45.3,0.3
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,214.3,206.3,215.3,187.8,139.3,-25.8
중단사업이익,,,,,,
*중단사업법인세효과,,,,,,
당기순이익,214.3,206.3,215.3,187.8,139.3,-25.8
기타포괄이익,3.1,19.5,-53.9,92.6,31.3,-66.2
총포괄이익,217.4,225.8,161.4,280.4,170.6,-39.1
*주당계속사업이익,860,855,907,802,621,-23
*주당순이익,860,855,907,802,621,-23
*희석주당계속사업이익,,,,,,
*희석주당순이익,,,,,,
*(지배주주지분)주당계속사업이익,860,855,907,802,621,-23
*(지배주주지분)주당순이익,860,855,907,802,621,-23
*(지배주주지분)희석주당계속사업이익,,,,,,
*(지배주주지분)희석주당순이익,,,,,,
