항목,2017/12,2018/12,2019/12,2020/12,2021/12,전년대비
매출액(수익),"3,127.2","3,727.7","4,021.9","3,464.0","4,027.3",16.3
*내수,934.6,"1,219.5","1,295.5","1,187.7",,
*수출,"2,192.5","2,508.2","2,726.4","2,276.3",,
매출원가,"2,683.6","3,218.0","3,424.3","3,074.4","3,487.1",13.4
매출총이익,443.6,509.7,597.6,389.5,540.2,38.7
판매비와관리비,346.7,397.6,382.6,301.0,341.9,13.6
영업이익,96.9,112.2,215.1,88.5,198.4,124.0
*기타영업손익,,,,,,
영업이익(발표기준),96.9,112.2,215.1,88.5,198.4,124.0
*[구K-IFRS]영업이익,,,,,,
금융수익,2.0,3.5,13.4,8.8,19.1,116.1
금융원가,41.1,40.0,37.3,49.7,50.0,0.7
기타영업외손익,-7.7,15.9,51.0,-194.4,65.8,133.8
"종속기업,공동지배기업및관계기업관련손익",-4.8,-7.2,-3.4,-19.1,3.8,119.8
법인세비용차감전계속사업이익,45.3,84.5,238.8,-165.8,237.1,242.9
법인세비용,13.9,36.7,67.4,6.2,69.4,"1,021.1"
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,31.4,47.7,171.4,-172.0,167.6,197.4
중단사업이익,,,,,,
*중단사업법인세효과,,,,,,
당기순이익,31.4,47.7,171.4,-172.0,167.6,197.4
기타포괄이익,-1.9,-17.1,65.7,220.1,29.8,-86.5
총포괄이익,29.5,30.7,237.0,48.0,197.4,311.0
*주당계속사업이익,176,280,959,-901,955,206
*주당순이익,176,280,959,-901,955,206
*희석주당계속사업이익,,,,,,
*희석주당순이익,,,,,,
*(지배주주지분)주당계속사업이익,176,280,959,-901,955,206
*(지배주주지분)주당순이익,176,280,959,-901,955,206
*(지배주주지분)희석주당계속사업이익,,,,,,
*(지배주주지분)희석주당순이익,,,,,,
