항목,2017/12,2018/12,2019/12,2020/12,2021/12,전년대비
매출액(수익),"2,460.9","2,655.7","3,352.5","4,028.1","5,909.8",46.7
*내수,,"2,616.6","3,281.2","3,969.7",,
*수출,,86.4,71.3,58.4,,
매출원가,"2,161.9","2,358.7","3,024.5","3,655.5","5,331.6",45.9
매출총이익,299.1,297.1,328.0,372.6,578.2,55.2
판매비와관리비,211.1,225.3,259.3,282.5,332.7,17.8
영업이익,87.9,71.8,68.6,90.1,245.5,172.4
*기타영업손익,,,,,,
영업이익(발표기준),87.9,71.8,68.6,90.1,245.5,172.4
*[구K-IFRS]영업이익,,,,,,
금융수익,3.5,27.1,2.1,1.1,0.9,-22.0
금융원가,45.3,5.5,15.8,11.5,10.9,-4.9
기타영업외손익,-0.1,-25.5,-28.4,32.6,170.5,423.4
"종속기업,공동지배기업및관계기업관련손익",86.8,149.4,164.6,131.0,361.3,175.7
법인세비용차감전계속사업이익,132.9,217.2,191.0,243.4,767.3,215.2
법인세비용,45.3,59.5,-15.8,38.2,163.3,327.8
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,87.6,157.7,206.8,205.2,604.0,194.3
중단사업이익,,-51.3,17.7,,,
*중단사업법인세효과,,0.5,4.7,,,
당기순이익,87.6,106.4,224.5,205.2,604.0,194.3
기타포괄이익,-93.7,9.4,32.0,-67.0,135.2,301.9
총포괄이익,-6.1,115.8,256.5,138.2,739.2,434.7
*주당계속사업이익,367,641,887,897,"2,342",161
*주당순이익,367,449,953,897,"2,342",161
*희석주당계속사업이익,,637,884,894,"2,205",147
*희석주당순이익,,446,950,894,"2,205",147
*(지배주주지분)주당계속사업이익,367,641,887,897,"2,342",161
*(지배주주지분)주당순이익,367,449,953,897,"2,342",161
*(지배주주지분)희석주당계속사업이익,,637,884,894,"2,205",147
*(지배주주지분)희석주당순이익,,446,950,894,"2,205",147
