항목,2017/12,2018/12,2019/12,2020/12,2021/12,전년대비
매출액(수익),"1,762.9","1,923.1","2,432.7","2,647.5","3,598.5",35.9
*내수,8.6,9.0,8.7,,,
*수출,"1,754.3","1,914.1","2,407.6",,,
매출원가,"1,508.6","1,806.7","2,187.3","2,346.9","3,195.1",36.1
매출총이익,254.3,116.4,245.4,300.6,403.4,34.2
판매비와관리비,219.1,236.1,214.1,231.1,252.0,9.1
영업이익,35.2,-119.7,31.3,69.5,151.4,117.7
*기타영업손익,,,,,,
영업이익(발표기준),35.2,-119.7,31.3,69.5,151.4,117.7
*[구K-IFRS]영업이익,,,,,,
금융수익,6.5,4.5,5.0,3.3,3.5,3.4
금융원가,15.5,27.8,30.1,19.2,18.3,-4.7
기타영업외손익,-35.4,7.8,-0.6,1.9,0.8,-55.9
"종속기업,공동지배기업및관계기업관련손익",,,,,,
법인세비용차감전계속사업이익,-9.3,-135.2,5.6,55.5,137.3,147.3
법인세비용,8.5,4.3,1.2,2.3,4.5,93.6
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,-17.8,-139.4,4.4,53.2,132.8,149.6
중단사업이익,0.5,,,,,
*중단사업법인세효과,,,,,,
당기순이익,-17.3,-139.4,4.4,53.2,132.8,149.6
기타포괄이익,3.7,-25.3,-2.7,0.6,1.1,74.8
총포괄이익,-13.6,-164.7,1.7,53.8,133.9,148.8
*주당계속사업이익,-22,-176,,71,172,142
*주당순이익,-21,-176,,71,172,142
*희석주당계속사업이익,,,,,,
*희석주당순이익,,,,,,
*(지배주주지분)주당계속사업이익,-22,-176,,71,172,142
*(지배주주지분)주당순이익,-21,-176,,71,172,142
*(지배주주지분)희석주당계속사업이익,,,,,,
*(지배주주지분)희석주당순이익,,,,,,
