항목,2017/12,2018/12,2019/12,2020/12,2021/12,전년대비
매출액(수익),"1,432.9","1,345.5",930.4,850.6,577.7,-32.1
*내수,"1,352.0","1,268.8",,850.6,,
*수출,80.9,76.7,,,,
매출원가,"1,349.3","1,205.7",806.6,735.1,503.6,-31.5
매출총이익,83.6,139.8,123.7,115.5,74.2,-35.8
판매비와관리비,102.0,88.0,76.0,67.5,79.8,18.2
영업이익,-18.4,51.8,47.7,48.0,-5.7,-111.8
*기타영업손익,,,,,,
영업이익(발표기준),-18.4,51.8,47.7,48.0,-5.7,-111.8
*[구K-IFRS]영업이익,,,,,,
금융수익,40.6,6.1,3.8,2.8,8.4,199.1
금융원가,29.8,20.8,13.2,11.8,19.0,60.1
기타영업외손익,25.7,5.8,-6.4,-16.1,3.0,118.7
"종속기업,공동지배기업및관계기업관련손익",-0.4,-5.6,-9.7,-19.1,-39.8,-107.8
법인세비용차감전계속사업이익,17.7,37.3,22.2,3.7,-52.9,"-1,530.8"
법인세비용,14.2,4.7,-27.6,7.9,2.6,-67.5
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,3.5,32.5,49.8,-4.2,-55.5,"-1,235.6"
중단사업이익,,,-42.3,-18.8,,
*중단사업법인세효과,,,,,,
당기순이익,3.5,32.5,7.5,-22.9,-55.5,-142.3
기타포괄이익,-32.5,-3.1,-8.0,-13.3,20.8,257.0
총포괄이익,-29.0,29.4,-0.5,-36.2,-34.7,4.2
*주당계속사업이익,8,74,,,-123,
*주당순이익,8,74,17,-51,-123,-141
*희석주당계속사업이익,,,,,,
*희석주당순이익,,,,,,
*(지배주주지분)주당계속사업이익,8,74,,,-123,
*(지배주주지분)주당순이익,8,74,17,-51,-123,-141
*(지배주주지분)희석주당계속사업이익,,,,,,
*(지배주주지분)희석주당순이익,,,,,,
