항목,"2017/12
(IFRS별도)",2018/12,2019/12,2020/12,2021/12,전년대비
매출액(수익),"4,006.7","3,478.3","3,247.8","2,684.7","2,303.4",-14.2
*내수,"2,887.5",,"2,164.3","1,832.8",,
*수출,"1,119.2",,"1,083.5",851.9,,
매출원가,"3,564.0","3,129.6","2,899.0","2,493.5","2,159.6",-13.4
매출총이익,442.7,348.7,348.9,191.3,143.8,-24.8
판매비와관리비,235.2,254.5,233.1,206.4,212.9,3.1
영업이익,207.5,94.3,115.8,-15.2,-69.1,-356.2
*기타영업손익,,,,,,
영업이익(발표기준),207.5,94.3,115.8,-15.2,-69.1,-356.2
*[구K-IFRS]영업이익,,,,,,
금융수익,34.3,10.8,13.1,32.6,50.3,54.2
금융원가,34.7,30.7,26.7,17.8,15.3,-14.5
기타영업외손익,-5.9,0.3,4.2,-16.0,-0.5,96.7
"종속기업,공동지배기업및관계기업관련손익",82.0,238.4,76.8,145.7,535.1,267.3
법인세비용차감전계속사업이익,283.2,313.1,183.2,129.3,500.5,287.2
법인세비용,65.7,60.9,38.4,23.9,83.6,250.4
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,217.4,252.2,144.8,105.4,416.9,295.6
중단사업이익,,,,,,
*중단사업법인세효과,,,,,,
당기순이익,217.4,252.2,144.8,105.4,416.9,295.6
기타포괄이익,35.0,-43.1,-41.0,-0.9,47.0,"5,078.1"
총포괄이익,252.4,209.1,103.8,104.4,463.9,344.1
*주당계속사업이익,197,228,131,95,377,297
*주당순이익,197,228,131,95,377,297
*희석주당계속사업이익,,,,,,
*희석주당순이익,,,,,,
*(지배주주지분)주당계속사업이익,197,228,131,95,377,297
*(지배주주지분)주당순이익,197,228,131,95,377,297
*(지배주주지분)희석주당계속사업이익,,,,,,
*(지배주주지분)희석주당순이익,,,,,,
