항목,2017/12,2018/12,2019/12,2020/12,2021/12,전년대비
매출액(수익),"1,140.7","1,085.9","1,128.7",982.2,"1,107.7",12.8
*내수,"1,076.4",,,,,
*수출,64.3,,,,,
매출원가,853.4,795.9,808.7,725.4,875.3,20.7
매출총이익,287.3,290.1,320.0,256.9,232.4,-9.5
판매비와관리비,280.7,277.7,289.2,277.9,279.0,0.4
영업이익,6.6,12.3,30.8,-21.0,-46.7,-122.2
*기타영업손익,,,,,,
영업이익(발표기준),6.6,12.3,30.8,-21.0,-46.7,-122.2
*[구K-IFRS]영업이익,,,,,,
금융수익,0.4,0.4,2.1,1.8,1.6,-10.6
금융원가,15.1,15.2,13.4,9.8,8.5,-13.2
기타영업외손익,3.8,2.1,3.3,11.5,0.8,-93.0
"종속기업,공동지배기업및관계기업관련손익",,,,,,
법인세비용차감전계속사업이익,-4.3,-0.4,22.7,-17.5,-52.7,-201.3
법인세비용,1.2,0.8,1.5,-0.7,-0.3,56.3
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,-5.6,-1.2,21.2,-16.8,-52.4,-211.7
중단사업이익,,,,-0.6,-0.2,65.5
*중단사업법인세효과,,,,,,
당기순이익,-5.6,-1.2,21.2,-17.4,-52.7,-202.1
기타포괄이익,-4.2,-0.6,-2.8,4.1,3.2,-22.3
총포괄이익,-9.7,-1.8,18.4,-13.3,-49.5,-271.2
*주당계속사업이익,-24,-5,70,,,
*주당순이익,-24,-5,70,-54,-173,-220
*희석주당계속사업이익,,,,,,
*희석주당순이익,,,,,,
*(지배주주지분)주당계속사업이익,-24,-5,70,,,
*(지배주주지분)주당순이익,-24,-5,70,-54,-173,-220
*(지배주주지분)희석주당계속사업이익,,,,,,
*(지배주주지분)희석주당순이익,,,,,,
