항목,"2017/12
(IFRS별도)",2018/12,2019/12,2020/12,2021/12,전년대비
매출액(수익),156.9,132.4,300.3,353.8,450.5,27.3
*내수,,,,,,
*수출,,,,,,
매출원가,123.9,108.6,113.2,307.0,361.8,17.8
매출총이익,33.0,23.8,187.1,46.7,88.7,89.8
판매비와관리비,37.7,64.2,130.1,188.6,222.1,17.8
영업이익,-4.7,-40.4,57.0,-141.8,-133.4,5.9
*기타영업손익,,,,,,
영업이익(발표기준),-4.7,-40.4,57.0,-141.8,-133.4,5.9
*[구K-IFRS]영업이익,,,,,,
금융수익,4.4,18.1,49.2,82.2,42.8,-47.9
금융원가,7.4,59.3,112.7,79.1,53.7,-32.1
기타영업외손익,3.1,-46.8,-104.5,-168.7,6.4,103.8
"종속기업,공동지배기업및관계기업관련손익",-3.8,,,,,
법인세비용차감전계속사업이익,-8.3,-128.4,-111.0,-307.3,-137.9,55.1
법인세비용,-0.9,-9.3,-20.5,-28.3,-7.1,75.1
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,-7.4,-119.2,-90.5,-279.0,-130.8,53.1
중단사업이익,,,-138.2,-16.7,,
*중단사업법인세효과,,,,,,
당기순이익,-7.4,-119.2,-228.7,-295.7,-130.8,55.8
기타포괄이익,5.9,-17.1,-12.8,-88.9,48.3,154.4
총포괄이익,-1.5,-136.2,-241.5,-384.5,-82.5,78.5
*주당계속사업이익,-40,-546,-370,-881,-340,61
*주당순이익,-40,-546,-935,-934,-340,64
*희석주당계속사업이익,,,,,,
*희석주당순이익,,,,,,
*(지배주주지분)주당계속사업이익,-40,-546,-370,-881,-340,61
*(지배주주지분)주당순이익,-40,-546,-935,-934,-340,64
*(지배주주지분)희석주당계속사업이익,,,,,,
*(지배주주지분)희석주당순이익,,,,,,
