항목,2017/12,2018/12,2019/12,2020/12,2021/12,전년대비
매출액(수익),"4,616.9","5,067.7","4,543.7","4,952.7","5,055.9",2.1
*내수,"3,423.6",,"3,688.2","2,747.6",,
*수출,"1,193.3",,855.5,"2,205.1",,
매출원가,"4,134.2","4,536.2","3,948.1","4,255.2","4,388.3",3.1
매출총이익,482.7,531.5,595.6,697.4,667.6,-4.3
판매비와관리비,275.0,410.7,473.2,449.7,500.9,11.4
영업이익,207.7,120.8,122.4,247.7,166.7,-32.7
*기타영업손익,,,,,,
영업이익(발표기준),207.7,120.8,122.4,247.7,166.7,-32.7
*[구K-IFRS]영업이익,,,,,,
금융수익,87.4,94.9,78.0,80.2,142.9,78.3
금융원가,164.0,265.3,252.7,285.2,200.7,-29.6
기타영업외손익,5.3,123.7,-33.1,-350.7,-56.0,84.0
"종속기업,공동지배기업및관계기업관련손익",45.2,54.6,,,,
법인세비용차감전계속사업이익,181.5,128.7,-85.4,-308.1,52.8,117.2
법인세비용,52.1,96.1,-17.4,11.3,28.4,150.7
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,129.4,32.7,-67.9,-319.4,24.4,107.7
중단사업이익,,,,,,
*중단사업법인세효과,,,,,,
당기순이익,129.4,32.7,-67.9,-319.4,24.4,107.7
기타포괄이익,-29.7,44.0,92.3,-75.7,109.0,244.0
총포괄이익,99.7,76.7,24.3,-395.1,133.4,133.8
*주당계속사업이익,172,26,-98,-177,43,124
*주당순이익,172,26,-98,-177,43,124
*희석주당계속사업이익,,,,,,
*희석주당순이익,,,,,,
*(지배주주지분)주당계속사업이익,172,26,-98,-177,43,124
*(지배주주지분)주당순이익,172,26,-98,-177,43,124
*(지배주주지분)희석주당계속사업이익,,,,,,
*(지배주주지분)희석주당순이익,,,,,,
