항목,"2017/12
(IFRS별도)",2018/12,2019/12,2020/12,2021/12,전년대비
매출액(수익),"2,588.8","3,066.0","3,071.5","2,720.8","2,930.2",7.7
*내수,"2,557.8","3,007.1","3,028.8","2,662.2",,
*수출,31.1,58.9,42.7,58.6,,
매출원가,"1,508.0","1,907.0","1,855.5","1,334.1","1,436.7",7.7
매출총이익,"1,080.8","1,159.0","1,216.0","1,386.7","1,493.5",7.7
판매비와관리비,971.0,"1,046.8","1,120.5","1,155.1","1,268.5",9.8
영업이익,109.9,112.3,95.5,231.5,225.0,-2.8
*기타영업손익,,,,,,
영업이익(발표기준),109.9,112.3,95.5,231.5,225.0,-2.8
*[구K-IFRS]영업이익,,,,,,
금융수익,13.6,30.3,25.1,45.6,45.3,-0.8
금융원가,2.0,2.4,9.6,9.8,6.0,-38.5
기타영업외손익,528.5,2.0,55.5,70.1,5.2,-92.6
"종속기업,공동지배기업및관계기업관련손익",2.2,3.2,-4.1,-1.1,-4.1,-259.7
법인세비용차감전계속사업이익,652.2,145.4,162.4,336.4,265.3,-21.1
법인세비용,182.1,44.7,71.3,49.2,69.4,41.1
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,470.1,100.7,91.1,287.2,195.8,-31.8
중단사업이익,,,,,,
*중단사업법인세효과,,,,,,
당기순이익,470.1,100.7,91.1,287.2,195.8,-31.8
기타포괄이익,5.5,-52.5,-23.1,63.5,17.6,-72.3
총포괄이익,475.6,48.2,68.0,350.6,213.4,-39.1
*주당계속사업이익,"1,700",365,330,"1,033",647,-37
*주당순이익,"1,700",365,330,"1,033",647,-37
*희석주당계속사업이익,,,,,,
*희석주당순이익,,,,,,
*(지배주주지분)주당계속사업이익,"1,700",365,330,"1,033",647,-37
*(지배주주지분)주당순이익,"1,700",365,330,"1,033",647,-37
*(지배주주지분)희석주당계속사업이익,,,,,,
*(지배주주지분)희석주당순이익,,,,,,
