항목,2017/12,2018/12,2019/12,2020/12,2021/12,전년대비
매출액(수익),"1,175.7","1,419.7","1,883.8","2,889.7","4,213.9",45.8
*내수,9.8,"1,419.7",345.7,"1,009.7",,
*수출,"1,165.9",,"1,538.1","1,880.0",,
매출원가,953.0,"1,221.9","1,614.3","2,425.8","3,614.8",49.0
매출총이익,222.7,197.8,269.5,463.9,599.1,29.1
판매비와관리비,131.0,161.7,191.8,246.0,301.8,22.7
영업이익,91.7,36.1,77.6,218.0,297.2,36.4
*기타영업손익,,,,,,
영업이익(발표기준),91.7,36.1,77.6,218.0,297.2,36.4
*[구K-IFRS]영업이익,,,,,,
금융수익,5.2,4.7,3.0,7.2,11.8,63.8
금융원가,0.8,3.9,11.8,29.0,21.3,-26.6
기타영업외손익,3.3,6.5,16.9,1.5,-17.2,"-1,228.5"
"종속기업,공동지배기업및관계기업관련손익",19.0,88.5,116.8,105.3,249.2,136.6
법인세비용차감전계속사업이익,118.4,131.9,202.5,303.0,519.7,71.5
법인세비용,62.1,34.5,39.8,66.3,117.4,77.1
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,56.3,97.4,162.7,236.7,402.3,70.0
중단사업이익,71.0,,,,,
*중단사업법인세효과,18.2,,,,,
당기순이익,127.3,97.4,162.7,236.7,402.3,70.0
기타포괄이익,-64.0,-0.5,1.6,7.3,91.7,"1,153.5"
총포괄이익,63.3,96.9,164.3,244.0,494.0,102.4
*주당계속사업이익,"1,578","4,155","6,591","7,557","14,308",89
*주당순이익,"3,569","4,155","6,591","7,557","14,308",89
*희석주당계속사업이익,,,,,,
*희석주당순이익,,,,,,
*(지배주주지분)주당계속사업이익,"1,578","4,155","6,591","7,557","14,308",89
*(지배주주지분)주당순이익,"3,569","4,155","6,591","7,557","14,308",89
*(지배주주지분)희석주당계속사업이익,,,,,,
*(지배주주지분)희석주당순이익,,,,,,
