항목,2017/12,2018/12,2019/12,2020/12,2021/12,전년대비
매출액(수익),"8,369.8","8,406.5","8,302.6","8,574.2","10,703.8",24.8
*내수,"7,216.0","7,558.1","7,107.7","7,116.0",,
*수출,"1,153.8",848.5,"1,194.9","1,458.2",,
매출원가,"7,994.4","8,051.6","7,912.3","8,094.5","10,086.1",24.6
매출총이익,375.4,354.9,390.4,479.7,617.7,28.8
판매비와관리비,296.8,303.2,319.2,353.1,452.0,28.0
영업이익,78.6,51.7,71.2,126.5,165.7,31.0
*기타영업손익,,,,,,
영업이익(발표기준),78.6,51.7,71.2,126.5,165.7,31.0
*[구K-IFRS]영업이익,,,,,,
금융수익,52.5,27.8,36.8,99.2,96.3,-2.9
금융원가,67.8,68.2,78.4,124.1,125.2,0.9
기타영업외손익,-45.6,5.8,38.7,19.9,-37.0,-285.9
"종속기업,공동지배기업및관계기업관련손익",-1.9,-4.2,-7.7,-2.5,-12.3,-398.9
법인세비용차감전계속사업이익,15.8,12.9,60.6,119.0,87.6,-26.4
법인세비용,1.3,11.9,6.0,24.0,29.0,21.2
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,14.5,1.0,54.6,95.1,58.5,-38.4
중단사업이익,,,,,,
*중단사업법인세효과,,,,,,
당기순이익,14.5,1.0,54.6,95.1,58.5,-38.4
기타포괄이익,-29.8,26.6,-59.3,-3.1,10.6,437.9
총포괄이익,-15.2,27.6,-4.7,91.9,69.1,-24.8
*주당계속사업이익,356,24,"1,391","2,418","1,489",-38
*주당순이익,356,24,"1,391","2,418","1,489",-38
*희석주당계속사업이익,,,,,,
*희석주당순이익,,,,,,
*(지배주주지분)주당계속사업이익,356,24,"1,391","2,418","1,489",-38
*(지배주주지분)주당순이익,356,24,"1,391","2,418","1,489",-38
*(지배주주지분)희석주당계속사업이익,,,,,,
*(지배주주지분)희석주당순이익,,,,,,
