항목,2017/12,2018/12,2019/12,2020/12,2021/12,전년대비
매출액(수익),"1,653.5","1,208.1",994.0,767.8,529.6,-31.0
*내수,,,994.0,767.8,,
*수출,,,,,,
매출원가,"1,415.7","1,144.6",897.4,697.8,551.4,-21.0
매출총이익,237.8,63.5,96.6,70.0,-21.8,-131.1
판매비와관리비,280.0,333.5,201.7,170.5,161.1,-5.5
영업이익,-42.2,-270.0,-105.1,-100.5,-182.9,-82.0
*기타영업손익,,,,,,
영업이익(발표기준),-42.2,-270.0,-105.1,-100.5,-182.9,-82.0
*[구K-IFRS]영업이익,,,,,,
금융수익,75.3,36.5,31.1,43.6,43.6,0.1
금융원가,109.4,93.7,72.9,85.4,83.1,-2.7
기타영업외손익,-270.7,-46.8,90.6,-190.7,-38.6,79.8
"종속기업,공동지배기업및관계기업관련손익",2.8,-62.0,,,,
법인세비용차감전계속사업이익,-344.3,-436.0,-56.4,-333.0,-261.0,21.6
법인세비용,-7.0,3.7,-1.0,54.6,-3.3,-106.1
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,-337.3,-439.7,-55.4,-387.6,-257.6,33.5
중단사업이익,,,,,,
*중단사업법인세효과,,,,,,
당기순이익,-337.3,-439.7,-55.4,-387.6,-257.6,33.5
기타포괄이익,-20.4,-1.9,-8.5,3.3,-1.0,-129.4
총포괄이익,-357.7,-441.5,-63.9,-384.3,-258.6,32.7
*주당계속사업이익,"-1,217","-1,523",-189,-394,-164,58
*주당순이익,"-1,217","-1,523",-189,-394,-164,58
*희석주당계속사업이익,,,,,,
*희석주당순이익,,,,,,
*(지배주주지분)주당계속사업이익,"-1,217","-1,523",-189,-394,-164,58
*(지배주주지분)주당순이익,"-1,217","-1,523",-189,-394,-164,58
*(지배주주지분)희석주당계속사업이익,,,,,,
*(지배주주지분)희석주당순이익,,,,,,
