항목,"2017/12
(IFRS별도)",2018/12,2019/12,2020/12,2021/12,전년대비
매출액(수익),"5,121.5","5,920.7",,33.6,"13,717.1","40,693.2"
*내수,516.4,,,33.6,,
*수출,"4,605.1",,,,,
매출원가,"4,579.5","5,364.0",,,"12,091.4",
매출총이익,542.0,556.7,,33.6,"1,625.7","4,734.8"
판매비와관리비,236.2,208.6,28.1,74.4,953.7,"1,182.3"
영업이익,305.8,348.0,-28.1,-40.8,672.0,"1,749.0"
*기타영업손익,,,,,,
영업이익(발표기준),305.8,348.0,-28.1,-40.8,672.0,"1,749.0"
*[구K-IFRS]영업이익,,,,,,
금융수익,43.6,60.5,80.0,451.5,397.4,-12.0
금융원가,0.2,0.2,6.6,200.2,128.0,-36.1
기타영업외손익,104.7,"2,382.0",,3.9,-243.4,"-6,391.4"
"종속기업,공동지배기업및관계기업관련손익",,1.2,54.0,717.7,-0.3,-100.0
법인세비용차감전계속사업이익,453.9,"2,791.5",99.3,932.1,697.6,-25.2
법인세비용,97.9,144.4,12.5,-36.3,155.7,528.6
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,356.1,"2,647.1",86.8,968.4,542.0,-44.0
중단사업이익,,,558.8,504.0,5.2,-99.0
*중단사업법인세효과,,,163.9,,,
당기순이익,356.1,"2,647.1",645.6,"1,472.4",547.1,-62.8
기타포괄이익,301.0,-344.7,-17.7,-192.4,31.0,116.1
총포괄이익,657.1,"2,302.5",627.8,"1,280.0",578.1,-54.8
*주당계속사업이익,855,"6,032",127,"2,242",-77,-103
*주당순이익,855,"6,032",944,"3,409",-67,-102
*희석주당계속사업이익,,,,,,
*희석주당순이익,,,,,,
*(지배주주지분)주당계속사업이익,855,"6,032",127,"2,242",-77,-103
*(지배주주지분)주당순이익,855,"6,032",944,"3,409",-67,-102
*(지배주주지분)희석주당계속사업이익,,,,,,
*(지배주주지분)희석주당순이익,,,,,,
