항목,2017/12,2018/12,2019/12,2020/12,2021/12,전년대비
매출액(수익),"2,117.2","1,705.4","2,142.5","1,616.9","2,261.5",39.9
*내수,"1,028.1",,,,,
*수출,"1,089.1",,,,,
매출원가,"1,849.1","1,662.4","2,022.1","1,505.3","1,961.7",30.3
매출총이익,268.1,43.0,120.4,111.5,299.8,168.8
판매비와관리비,158.6,95.1,109.3,108.6,153.5,41.3
영업이익,109.6,-52.1,11.1,2.9,146.4,"4,936.5"
*기타영업손익,,,,,,
영업이익(발표기준),109.6,-52.1,11.1,2.9,146.4,"4,936.5"
*[구K-IFRS]영업이익,,,,,,
금융수익,8.0,11.9,17.0,25.2,8.5,-66.3
금융원가,30.2,35.2,36.3,41.9,29.8,-28.9
기타영업외손익,4.0,3.1,13.4,0.2,13.7,"6,240.1"
"종속기업,공동지배기업및관계기업관련손익",-3.4,-7.0,-1.8,1.4,0.6,-55.1
법인세비용차감전계속사업이익,88.0,-79.3,3.5,-12.1,139.4,"1,249.1"
법인세비용,4.3,-7.7,3.2,0.5,24.3,"5,251.3"
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,83.7,-71.6,0.3,-12.6,115.1,"1,014.4"
중단사업이익,,,,,,
*중단사업법인세효과,,,,,,
당기순이익,83.7,-71.6,0.3,-12.6,115.1,"1,014.4"
기타포괄이익,20.9,2.4,-7.6,-1.6,2.7,268.5
총포괄이익,104.7,-69.2,-7.3,-14.2,117.8,931.2
*주당계속사업이익,"4,187","-3,582",16,-630,576,191
*주당순이익,"4,187","-3,582",16,-630,576,191
*희석주당계속사업이익,,,,,,
*희석주당순이익,,,,,,
*(지배주주지분)주당계속사업이익,"4,187","-3,582",16,-630,576,191
*(지배주주지분)주당순이익,"4,187","-3,582",16,-630,576,191
*(지배주주지분)희석주당계속사업이익,,,,,,
*(지배주주지분)희석주당순이익,,,,,,
