항목,2017/12,2018/12,2019/12,2020/12,2021/12,전년대비
매출액(수익),"5,278.7","5,659.3","5,773.6","6,152.6","7,762.5",26.2
*내수,"5,278.7",,"5,773.6","6,152.6",,
*수출,,,,,,
매출원가,"5,104.6","5,490.1","5,566.5","5,951.6","7,497.7",26.0
매출총이익,174.1,169.2,207.0,201.0,264.8,31.7
판매비와관리비,72.7,74.2,96.1,94.4,207.7,119.9
영업이익,101.4,95.0,110.9,106.6,57.1,-46.4
*기타영업손익,,,,,,
영업이익(발표기준),101.4,95.0,110.9,106.6,57.1,-46.4
*[구K-IFRS]영업이익,,,,,,
금융수익,2.0,4.3,3.3,5.5,24.5,343.2
금융원가,15.8,18.7,25.3,41.1,37.5,-8.8
기타영업외손익,1.6,-2.1,1.5,-77.5,4.1,105.3
"종속기업,공동지배기업및관계기업관련손익",,,,,,
법인세비용차감전계속사업이익,89.2,78.5,90.4,-6.5,48.2,841.0
법인세비용,22.3,20.0,22.5,12.6,9.1,-27.5
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,66.9,58.4,67.9,-19.1,39.2,305.4
중단사업이익,,-5.8,-17.1,0.0,,
*중단사업법인세효과,,,,,,
당기순이익,66.9,52.6,50.8,-19.1,39.2,305.4
기타포괄이익,-0.9,-3.7,-4.4,-5.9,10.1,270.8
총포괄이익,66.0,49.0,46.4,-25.0,49.2,297.2
*주당계속사업이익,558,457,555,-167,240,244
*주당순이익,558,441,420,-167,240,244
*희석주당계속사업이익,,,,,,
*희석주당순이익,,,,,,
*(지배주주지분)주당계속사업이익,558,457,555,-167,240,244
*(지배주주지분)주당순이익,558,441,420,-167,240,244
*(지배주주지분)희석주당계속사업이익,,,,,,
*(지배주주지분)희석주당순이익,,,,,,
