항목,"2017/12
(IFRS별도)",2018/12,2019/12,2020/12,2021/12,전년대비
매출액(수익),"5,376.2","5,844.4","5,734.6","5,044.9","5,042.1",-0.1
*내수,"5,376.2","5,844.4","5,734.6","5,044.9",,
*수출,,,,,,
매출원가,"4,719.1","5,122.9","5,041.9","4,357.1","4,423.0",1.5
매출총이익,657.0,721.4,692.7,687.8,619.1,-10.0
판매비와관리비,508.1,541.8,573.1,580.1,587.1,1.2
영업이익,148.9,179.6,119.6,107.7,32.0,-70.3
*기타영업손익,,,,,,
영업이익(발표기준),148.9,179.6,119.6,107.7,32.0,-70.3
*[구K-IFRS]영업이익,,,,,,
금융수익,22.2,16.0,16.6,13.4,15.9,18.9
금융원가,5.9,5.8,16.1,8.5,6.8,-20.1
기타영업외손익,10.8,17.4,19.5,37.4,7.6,-79.6
"종속기업,공동지배기업및관계기업관련손익",,,,,,
법인세비용차감전계속사업이익,176.1,207.2,139.6,149.9,48.7,-67.5
법인세비용,38.8,46.0,32.5,36.1,11.6,-67.9
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,137.3,161.2,107.1,113.9,37.1,-67.4
중단사업이익,,,,,,
*중단사업법인세효과,,,,,,
당기순이익,137.3,161.2,107.1,113.9,37.1,-67.4
기타포괄이익,-3.7,-19.5,-6.5,4.7,11.7,146.7
총포괄이익,133.6,141.8,100.6,118.6,48.8,-58.9
*주당계속사업이익,"3,331","3,912","2,598","2,762",901,-67
*주당순이익,"3,331","3,912","2,598","2,762",901,-67
*희석주당계속사업이익,,,,,,
*희석주당순이익,,,,,,
*(지배주주지분)주당계속사업이익,"3,331","3,912","2,598","2,762",901,-67
*(지배주주지분)주당순이익,"3,331","3,912","2,598","2,762",901,-67
*(지배주주지분)희석주당계속사업이익,,,,,,
*(지배주주지분)희석주당순이익,,,,,,
