항목,2017/12,2018/12,2019/12,2020/12,2021/12,전년대비
매출액(수익),782.6,715.5,890.9,"1,099.3",968.5,-11.9
*내수,782.6,715.5,,"1,099.3",,
*수출,,,,,,
매출원가,723.4,679.4,713.5,784.4,691.1,-11.9
매출총이익,59.2,36.1,177.4,314.9,277.4,-11.9
판매비와관리비,98.5,89.1,187.1,423.0,357.5,-15.5
영업이익,-39.3,-52.9,-9.7,-108.0,-80.1,25.9
*기타영업손익,,,,,,
영업이익(발표기준),-39.3,-52.9,-9.7,-108.0,-80.1,25.9
*[구K-IFRS]영업이익,,,,,,
금융수익,2.7,4.3,6.7,8.0,7.6,-4.5
금융원가,14.8,13.1,27.7,36.7,44.6,21.6
기타영업외손익,-1.9,52.6,-40.1,0.2,-44.3,"-18,102.0"
"종속기업,공동지배기업및관계기업관련손익",1.3,0.3,-4.4,-79.9,-1.4,98.3
법인세비용차감전계속사업이익,-52.1,-8.9,-75.2,-216.3,-162.8,24.8
법인세비용,-23.2,31.1,-8.5,-11.0,13.9,226.1
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,-28.9,-40.0,-66.8,-205.3,-176.7,13.9
중단사업이익,,,,,,
*중단사업법인세효과,,,,,,
당기순이익,-28.9,-40.0,-66.8,-205.3,-176.7,13.9
기타포괄이익,-1.4,-4.0,-7.7,5.4,-29.0,-637.6
총포괄이익,-30.3,-44.0,-74.5,-199.9,-205.7,-2.9
*주당계속사업이익,"-2,063",-228,-370,-415,-305,27
*주당순이익,"-2,063",-228,-370,-415,-305,27
*희석주당계속사업이익,,,,,,
*희석주당순이익,,,,,,
*(지배주주지분)주당계속사업이익,"-2,063",-228,-370,-415,-305,27
*(지배주주지분)주당순이익,"-2,063",-228,-370,-415,-305,27
*(지배주주지분)희석주당계속사업이익,,,,,,
*(지배주주지분)희석주당순이익,,,,,,
