항목,2017/12,2018/12,2019/12,2020/12,2021/12,전년대비
매출액(수익),"7,298.9","7,235.8","7,174.7","6,550.2","8,958.0",36.8
*내수,,,"5,741.2","5,093.0",,
*수출,,,"1,433.5","1,457.1",,
매출원가,"6,662.1","6,759.6","6,702.2","6,244.6","8,252.6",32.2
매출총이익,636.8,476.2,472.6,305.6,705.3,130.8
판매비와관리비,286.2,279.3,277.8,297.0,351.0,18.2
영업이익,350.6,196.9,194.7,8.6,354.3,"4,040.7"
*기타영업손익,,,,,,
영업이익(발표기준),350.6,196.9,194.7,8.6,354.3,"4,040.7"
*[구K-IFRS]영업이익,,,,,,
금융수익,30.4,21.5,28.6,24.9,45.9,84.5
금융원가,65.5,65.1,64.3,76.2,66.3,-13.0
기타영업외손익,-2.3,-0.4,-10.1,-5.8,9.8,270.2
"종속기업,공동지배기업및관계기업관련손익",,,,,,
법인세비용차감전계속사업이익,313.1,153.0,149.0,-48.5,343.8,808.6
법인세비용,76.1,42.3,39.0,-6.0,76.2,"1,377.4"
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,237.0,110.7,109.9,-42.6,267.7,728.9
중단사업이익,,,,,,
*중단사업법인세효과,,,,,,
당기순이익,237.0,110.7,109.9,-42.6,267.7,728.9
기타포괄이익,-19.3,-3.5,10.5,-1.7,37.7,"2,360.9"
총포괄이익,217.7,107.2,120.5,-44.2,305.4,790.5
*주당계속사업이익,"2,814","1,325","1,304",-526,"3,130",695
*주당순이익,"2,814","1,325","1,304",-526,"3,130",695
*희석주당계속사업이익,,,,,,
*희석주당순이익,,,,,,
*(지배주주지분)주당계속사업이익,"2,814","1,325","1,304",-526,"3,130",695
*(지배주주지분)주당순이익,"2,814","1,325","1,304",-526,"3,130",695
*(지배주주지분)희석주당계속사업이익,,,,,,
*(지배주주지분)희석주당순이익,,,,,,
