항목,2017/12,2018/12,2019/12,2020/12,2021/12,전년대비
매출액(수익),"1,512.6","1,538.8","1,312.0",725.0,669.7,-7.6
*내수,"1,299.8",,942.3,506.2,,
*수출,212.8,,369.7,218.8,,
매출원가,672.8,701.8,584.7,339.9,313.8,-7.7
매출총이익,839.8,837.0,727.3,385.1,355.8,-7.6
판매비와관리비,763.9,911.9,901.2,555.0,387.8,-30.1
영업이익,75.9,-74.9,-173.9,-169.9,-31.9,81.2
*기타영업손익,,,,,,
영업이익(발표기준),75.9,-74.9,-173.9,-169.9,-31.9,81.2
*[구K-IFRS]영업이익,,,,,,
금융수익,5.2,6.6,7.2,5.7,6.4,11.3
금융원가,3.1,3.8,6.6,10.0,6.1,-38.8
기타영업외손익,-8.7,-5.4,-17.2,103.2,-9.5,-109.2
"종속기업,공동지배기업및관계기업관련손익",,,,,,
법인세비용차감전계속사업이익,69.2,-77.4,-190.5,-71.1,-41.2,42.1
법인세비용,28.9,0.0,-18.3,4.7,31.6,578.4
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,40.3,-77.5,-172.2,-75.7,-72.8,3.9
중단사업이익,,,,-0.8,,
*중단사업법인세효과,,,,,,
당기순이익,40.3,-77.5,-172.2,-76.5,-72.8,4.9
기타포괄이익,-4.1,-4.0,-0.8,19.4,-2.7,-113.6
총포괄이익,36.2,-81.5,-173.1,-57.1,-75.5,-32.2
*주당계속사업이익,251,-482,"-1,072",,-453,
*주당순이익,251,-482,"-1,072",-476,-453,5
*희석주당계속사업이익,,,,,,
*희석주당순이익,,,,,,
*(지배주주지분)주당계속사업이익,251,-482,"-1,072",,-453,
*(지배주주지분)주당순이익,251,-482,"-1,072",-476,-453,5
*(지배주주지분)희석주당계속사업이익,,,,,,
*(지배주주지분)희석주당순이익,,,,,,
