항목,2017/12,2018/12,2019/12,2020/12,2021/12,전년대비
매출액(수익),"6,218.4","5,622.5","4,559.1","4,125.3","4,653.2",12.8
*내수,"5,848.4","5,336.6","4,314.0","3,920.0",,
*수출,370.0,323.6,245.1,205.3,,
매출원가,"5,703.9","5,160.2","4,237.6","3,755.1","4,412.8",17.5
매출총이익,514.6,462.4,321.5,370.2,240.4,-35.0
판매비와관리비,522.3,512.6,509.0,408.8,459.2,12.3
영업이익,-7.8,-50.2,-187.5,-38.6,-218.8,-466.3
*기타영업손익,,,,,,
영업이익(발표기준),-7.8,-50.2,-187.5,-38.6,-218.8,-466.3
*[구K-IFRS]영업이익,,,,,,
금융수익,111.4,60.0,52.3,75.7,73.4,-3.0
금융원가,147.9,117.0,133.1,140.0,127.7,-8.8
기타영업외손익,-23.3,30.3,-119.6,16.9,-101.8,-700.8
"종속기업,공동지배기업및관계기업관련손익",,,,,,
법인세비용차감전계속사업이익,-67.5,-77.0,-387.9,-86.0,-374.9,-335.9
법인세비용,26.9,-7.1,-31.4,16.3,-24.5,-250.0
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,-94.5,-69.9,-356.5,-102.3,-350.5,-242.5
중단사업이익,,-22.0,-43.2,-2.4,-2.5,-3.7
*중단사업법인세효과,,,-0.4,,,
당기순이익,-94.5,-91.9,-399.6,-104.7,-353.0,-237.1
기타포괄이익,-40.4,-0.9,18.3,-14.9,3.7,124.7
총포괄이익,-134.9,-92.8,-381.3,-119.6,-349.3,-191.9
*주당계속사업이익,-583,-464,"-2,882",-746,"-2,789",-274
*주당순이익,-583,-645,"-3,081",-757,"-2,808",-271
*희석주당계속사업이익,,,,,,
*희석주당순이익,,,,,,
*(지배주주지분)주당계속사업이익,-583,-464,"-2,882",-746,"-2,789",-274
*(지배주주지분)주당순이익,-583,-645,"-3,081",-757,"-2,808",-271
*(지배주주지분)희석주당계속사업이익,,,,,,
*(지배주주지분)희석주당순이익,,,,,,
