항목,2017/06,2018/06,2019/06,2020/06,2021/06,전년대비
매출액(수익),"8,819.7","8,210.7","9,548.7","10,272.4","11,999.0",16.8
*내수,"4,866.0","4,723.2","5,437.0","6,705.1","8,354.3",24.6
*수출,"3,953.7","3,487.5","4,111.7","3,567.3","3,644.7",2.2
매출원가,"5,959.5","5,302.1","6,062.4","6,373.6","7,283.3",14.3
매출총이익,"2,860.2","2,908.6","3,486.3","3,898.8","4,715.7",20.9
판매비와관리비,"2,768.8","2,714.8","3,079.3","3,484.4","3,972.5",14.0
영업이익,91.4,193.8,407.0,414.4,743.2,79.3
*기타영업손익,,,,,,
영업이익(발표기준),91.4,193.8,407.0,414.4,743.2,79.3
*[구K-IFRS]영업이익,,,,,,
금융수익,15.4,15.7,19.8,34.1,23.7,-30.5
금융원가,162.1,158.2,173.7,203.2,222.7,9.6
기타영업외손익,87.7,14.1,-153.7,-118.8,-73.3,38.3
"종속기업,공동지배기업및관계기업관련손익",,,,-4.1,12.7,410.9
법인세비용차감전계속사업이익,32.4,65.6,99.4,122.4,483.6,295.0
법인세비용,-46.6,37.4,73.9,119.0,195.5,64.3
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,79.1,28.2,25.6,3.4,288.1,"8,331.8"
중단사업이익,,,,,,
*중단사업법인세효과,,,,,,
당기순이익,79.1,28.2,25.6,3.4,288.1,"8,331.8"
기타포괄이익,52.9,-21.5,9.4,16.6,54.2,226.7
총포괄이익,132.0,6.7,34.9,20.0,342.3,"1,610.0"
*주당계속사업이익,55,20,18,2,200,"9,900"
*주당순이익,55,20,18,2,200,"9,900"
*희석주당계속사업이익,,,,,,
*희석주당순이익,,,,,,
*(지배주주지분)주당계속사업이익,55,20,18,2,200,"9,900"
*(지배주주지분)주당순이익,55,20,18,2,200,"9,900"
*(지배주주지분)희석주당계속사업이익,,,,,,
*(지배주주지분)희석주당순이익,,,,,,
