항목,"2017/12
(IFRS별도)",2018/12,2019/12,2020/12,2021/12,전년대비
매출액(수익),"7,659.8","7,709.8","7,748.5","7,431.9","7,704.4",3.7
*내수,"7,659.8",,,,,
*수출,,,,,,
매출원가,"6,402.0","6,458.0","6,604.2","6,137.0","6,475.2",5.5
매출총이익,"1,257.8","1,251.8","1,144.3","1,294.9","1,229.2",-5.1
판매비와관리비,"1,058.9","1,092.1",901.5,"1,032.1","1,068.7",3.5
영업이익,198.9,159.7,242.8,262.8,160.5,-38.9
*기타영업손익,,,,,,
영업이익(발표기준),198.9,159.7,242.8,262.8,160.5,-38.9
*[구K-IFRS]영업이익,,,,,,
금융수익,7.5,9.8,9.9,8.1,5.7,-30.0
금융원가,25.0,26.1,32.4,34.2,25.8,-24.5
기타영업외손익,11.7,18.0,-43.8,-51.5,8.5,116.5
"종속기업,공동지배기업및관계기업관련손익",-3.4,-7.2,,,,
법인세비용차감전계속사업이익,189.6,154.3,176.5,185.2,148.8,-19.6
법인세비용,41.1,25.4,46.2,43.8,29.7,-32.3
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,148.5,129.0,130.3,141.3,119.1,-15.7
중단사업이익,,,,,,
*중단사업법인세효과,,,,,,
당기순이익,148.5,129.0,130.3,141.3,119.1,-15.7
기타포괄이익,-0.9,-5.6,-16.7,6.8,-1.3,-119.4
총포괄이익,147.6,123.3,113.6,148.1,117.8,-20.4
*주당계속사업이익,540,469,474,514,435,-15
*주당순이익,540,469,474,514,435,-15
*희석주당계속사업이익,,,,,,
*희석주당순이익,,,,,,
*(지배주주지분)주당계속사업이익,540,469,474,514,435,-15
*(지배주주지분)주당순이익,540,469,474,514,435,-15
*(지배주주지분)희석주당계속사업이익,,,,,,
*(지배주주지분)희석주당순이익,,,,,,
