항목,2017/12,2018/12,2019/12,2020/12,2021/12,전년대비
매출액(수익),"8,439.4","10,455.3","10,002.6","8,719.6","10,267.5",17.8
*내수,,,,,,
*수출,,,,,,
매출원가,,,,,,
매출총이익,"8,439.4","10,455.3","10,002.6","8,719.6","10,267.5",17.8
판매비와관리비,"8,215.0","10,667.6","9,846.1","8,508.7","9,816.4",15.4
영업이익,224.4,-212.4,156.5,210.9,451.1,113.9
*기타영업손익,,,,,,
영업이익(발표기준),224.4,-212.4,156.5,210.9,451.1,113.9
*[구K-IFRS]영업이익,,,,,,
금융수익,12.8,42.9,96.2,126.4,53.8,-57.4
금융원가,260.7,400.2,565.8,447.2,364.4,-18.5
기타영업외손익,32.2,67.4,"1,378.3",-26.4,-18.3,30.7
"종속기업,공동지배기업및관계기업관련손익",-0.8,8.1,5.2,-48.7,62.9,229.2
법인세비용차감전계속사업이익,7.9,-494.1,"1,070.5",-185.0,185.1,200.1
법인세비용,78.1,62.5,408.2,-29.8,99.9,435.0
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,-70.2,-556.5,662.3,-155.2,85.3,154.9
중단사업이익,276.7,929.2,-241.0,122.1,682.1,458.9
*중단사업법인세효과,45.1,-0.2,-2.8,,,
당기순이익,206.5,372.7,421.3,-33.2,767.4,"2,413.6"
기타포괄이익,-36.2,9.7,-21.9,-90.9,122.7,235.0
총포괄이익,170.3,382.3,399.4,-124.1,890.0,817.4
*주당계속사업이익,-116,"-1,229","1,474",-344,190,155
*주당순이익,321,24,982,-86,"1,707","2,085"
*희석주당계속사업이익,,,,,,
*희석주당순이익,,,,,,
*(지배주주지분)주당계속사업이익,-116,"-1,229","1,474",-344,190,155
*(지배주주지분)주당순이익,321,24,982,-86,"1,707","2,085"
*(지배주주지분)희석주당계속사업이익,,,,,,
*(지배주주지분)희석주당순이익,,,,,,
