항목,2017/12,2018/12,2019/12,2020/12,2021/12,전년대비
매출액(수익),"1,209.6","1,225.5","1,349.7","1,316.4","1,590.2",20.8
*내수,,,"1,349.7","1,316.4",,
*수출,,,,,,
매출원가,897.6,940.2,"1,018.8",984.6,"1,180.8",19.9
매출총이익,312.0,285.3,330.9,331.7,409.4,23.4
판매비와관리비,141.7,152.1,160.7,172.7,212.9,23.3
영업이익,170.4,133.2,170.3,159.0,196.5,23.6
*기타영업손익,,,,,,
영업이익(발표기준),170.4,133.2,170.3,159.0,196.5,23.6
*[구K-IFRS]영업이익,,,,,,
금융수익,39.5,45.9,60.0,58.8,101.0,71.8
금융원가,31.1,17.7,22.3,74.4,41.6,-44.1
기타영업외손익,-5.5,-2.3,-3.8,-3.1,0.4,111.5
"종속기업,공동지배기업및관계기업관련손익",,,,,,
법인세비용차감전계속사업이익,173.3,159.1,204.1,140.3,256.3,82.7
법인세비용,30.6,32.7,38.1,21.9,45.6,107.9
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,142.6,126.4,166.0,118.4,210.7,78.0
중단사업이익,,,,,,
*중단사업법인세효과,,,,,,
당기순이익,142.6,126.4,166.0,118.4,210.7,78.0
기타포괄이익,-10.2,-4.5,-12.4,2.7,8.0,195.8
총포괄이익,132.4,121.9,153.6,121.1,218.7,80.6
*주당계속사업이익,"5,138","5,469","9,253","6,657","12,789",92
*주당순이익,"5,138","5,469","9,253","6,657","12,789",92
*희석주당계속사업이익,,,,,,
*희석주당순이익,,,,,,
*(지배주주지분)주당계속사업이익,"5,138","5,469","9,253","6,657","12,789",92
*(지배주주지분)주당순이익,"5,138","5,469","9,253","6,657","12,789",92
*(지배주주지분)희석주당계속사업이익,,,,,,
*(지배주주지분)희석주당순이익,,,,,,
