항목,"2017/12
(IFRS별도)",2018/12,2019/12,2020/12,2021/12,전년대비
매출액(수익),"4,922.0","4,897.7","5,066.2","5,206.5","5,387.3",3.5
*내수,"4,493.2","4,593.3","4,730.7","4,815.3",,
*수출,428.9,304.4,335.5,391.2,,
매출원가,"4,148.4","4,333.9","4,399.3","4,505.1","4,856.1",7.8
매출총이익,773.6,563.8,666.9,701.4,531.2,-24.3
판매비와관리비,369.8,386.1,408.5,434.2,421.0,-3.0
영업이익,403.9,177.8,258.4,267.2,110.2,-58.8
*기타영업손익,,,,,,
영업이익(발표기준),403.9,177.8,258.4,267.2,110.2,-58.8
*[구K-IFRS]영업이익,,,,,,
금융수익,3.6,3.5,9.3,5.1,4.3,-16.0
금융원가,22.5,23.8,36.5,29.5,34.5,16.9
기타영업외손익,-29.7,20.3,2.5,-20.4,25.4,224.6
"종속기업,공동지배기업및관계기업관련손익",,0.3,,,,
법인세비용차감전계속사업이익,355.3,178.1,233.7,222.3,105.3,-52.6
법인세비용,83.9,30.9,51.6,20.6,20.8,1.1
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,271.4,147.2,182.1,201.8,84.5,-58.1
중단사업이익,,,,,,
*중단사업법인세효과,,,,,,
당기순이익,271.4,147.2,182.1,201.8,84.5,-58.1
기타포괄이익,-2.9,8.6,1.6,-21.2,23.7,211.9
총포괄이익,268.5,155.9,183.7,180.6,108.2,-40.1
*주당계속사업이익,"1,094",593,734,814,341,-58
*주당순이익,"1,094",593,734,814,341,-58
*희석주당계속사업이익,,,,,,
*희석주당순이익,,,,,,
*(지배주주지분)주당계속사업이익,"1,094",593,734,814,341,-58
*(지배주주지분)주당순이익,"1,094",593,734,814,341,-58
*(지배주주지분)희석주당계속사업이익,,,,,,
*(지배주주지분)희석주당순이익,,,,,,
