항목,2017/12,2018/12,2019/12,2020/12,2021/12,전년대비
매출액(수익),488.9,474.4,418.3,470.6,540.7,14.9
*내수,447.5,446.8,416.6,455.8,,
*수출,41.4,27.6,1.7,14.8,,
매출원가,364.1,343.8,305.1,291.7,308.5,5.8
매출총이익,124.8,130.6,113.3,178.9,232.1,29.7
판매비와관리비,106.9,99.0,101.3,101.9,110.8,8.7
영업이익,18.0,31.6,11.9,77.0,121.4,57.6
*기타영업손익,,,,,,
영업이익(발표기준),18.0,31.6,11.9,77.0,121.4,57.6
*[구K-IFRS]영업이익,,,,,,
금융수익,14.0,14.2,27.1,21.1,21.0,-0.5
금융원가,1.8,0.6,0.4,0.1,6.5,"4,304.9"
기타영업외손익,2.3,-1.9,85.8,1.7,0.4,-75.8
"종속기업,공동지배기업및관계기업관련손익",-12.6,2.6,-1.7,0.0,3.5,"13,444.4"
법인세비용차감전계속사업이익,19.8,45.9,122.8,99.7,139.8,40.2
법인세비용,3.5,16.9,24.6,22.4,30.7,37.1
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,16.4,29.1,98.2,77.3,109.1,41.1
중단사업이익,,,,,,
*중단사업법인세효과,,,,,,
당기순이익,16.4,29.1,98.2,77.3,109.1,41.1
기타포괄이익,19.2,97.7,28.1,1.4,78.6,"5,618.1"
총포괄이익,35.6,126.8,126.4,78.7,187.8,138.5
*주당계속사업이익,141,251,858,681,963,41
*주당순이익,141,251,858,681,963,41
*희석주당계속사업이익,,,,,,
*희석주당순이익,,,,,,
*(지배주주지분)주당계속사업이익,141,251,858,681,963,41
*(지배주주지분)주당순이익,141,251,858,681,963,41
*(지배주주지분)희석주당계속사업이익,,,,,,
*(지배주주지분)희석주당순이익,,,,,,
