,항목,2020,2020,2021,2022(E) 연간컨센서스닫기
0,펼치기 NH프라임리츠,2.74,2.68,2.56,
1,현금DPS,119,125,123,
2,보통주수정주가(기말),"4,350",,"4,805","4,960"
3,펼치기 은행,4.33,4.33,4.34,5.22
4,현금배당,"32,155","32,155","51,370","57,358"
5,보통주시가총액(기말),"742,026","742,026","1,186,580","1,245,046"
6,펼치기 코스피,2.02,2.02,1.77,2.37
7,현금배당,"382,473","382,473","372,239","393,927"
8,보통주시가총액(기말),"18,907,113","18,907,113","21,081,576","19,822,206"
