,항목,,2020,2021,2022(E) 연간컨센서스닫기
0,펼치기 F&F,,,0.58,0.43
1,현금DPS,,,"1,100",543
2,보통주수정주가(기말),,,"189,000","126,000"
3,"펼치기 화장품,의류,완구",,0.79,1.29,1.45
4,현금배당,,"6,496","10,877","7,594"
5,보통주시가총액(기말),,"825,472","846,631","735,165"
6,펼치기 코스피,,2.02,1.77,2.37
7,현금배당,,"382,473","372,239","393,927"
8,보통주시가총액(기말),,"18,907,113","21,081,576","19,822,206"
