,항목,,2020,2021,2022(E) 연간컨센서스닫기
0,펼치기 DL이앤씨,,,2.27,2.82
1,현금DPS,,,"1,351","1,485"
2,보통주수정주가(기말),,,"59,592","52,600"
3,"펼치기 건설,건축관련",,1.96,1.87,2.31
4,현금배당,,"9,856","10,882","8,741"
5,보통주시가총액(기말),,"503,899","583,105","563,097"
6,펼치기 코스피,,2.02,1.77,2.37
7,현금배당,,"382,473","372,239","393,927"
8,보통주시가총액(기말),,"18,907,113","21,081,576","19,822,206"
