,항목,,2020,2021,2022(E) 연간컨센서스닫기
0,펼치기 LG에너지솔루션,,,,0.00
1,현금DPS,,0,,19
2,보통주수정주가(기말),,,,"400,500"
3,펼치기 IT가전,,0.37,0.24,0.19
4,현금배당,,"3,072","2,761","3,324"
5,보통주시가총액(기말),,"831,148","1,172,140","1,948,085"
6,펼치기 코스피,,2.02,1.77,2.37
7,현금배당,,"382,473","372,239","393,927"
8,보통주시가총액(기말),,"18,907,113","21,081,576","19,822,206"
